Timesteps,Collisions,Steps Waited,Real-Time Elapsed
39.0,0.0,0.0,0.006240367889404297
25.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0015645027160644531
25.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0
55.0,0.0,0.0,0.007602691650390625
52.0,0.0,0.0,0.0
43.0,0.0,0.0,0.009011268615722656
29.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.007547616958618164
19.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0
13.0,0.0,0.0,0.008054494857788086
81.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
58.0,0.0,0.0,0.015648365020751953
57.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
94.0,0.0,0.0,0.01563739776611328
61.0,0.0,0.0,0.005031585693359375
29.0,0.0,0.0,0.0
110.0,0.0,0.0,0.0
106.0,0.0,0.0,0.011024236679077148
46.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0
80.0,0.0,0.0,0.01567983627319336
13.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0
35.0,0.0,0.0,0.01732015609741211
24.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0030498504638671875
29.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
54.0,0.0,0.0,0.009530305862426758
