Timesteps,Collisions,Steps Waited,Real-Time Elapsed
22.0,8.0,8.0,0.023543596267700195
95.0,33.0,33.0,0.08599233627319336
29.0,10.0,10.0,0.02354264259338379
25.0,11.0,11.0,0.02414226531982422
27.0,13.0,13.0,0.022750377655029297
121.0,30.0,30.0,0.10352420806884766
128.0,33.0,33.0,0.12830758094787598
90.0,18.0,18.0,0.07478761672973633
97.0,24.0,24.0,0.08123564720153809
24.0,9.0,9.0,0.02305746078491211
22.0,10.0,10.0,0.0192868709564209
56.0,26.0,26.0,0.053366899490356445
30.0,11.0,11.0,0.027553558349609375
77.0,17.0,17.0,0.07358336448669434
73.0,15.0,15.0,0.07828760147094727
27.0,6.0,6.0,0.044625043869018555
45.0,12.0,12.0,0.04856228828430176
35.0,13.0,13.0,0.03402853012084961
210.0,60.0,60.0,0.20120716094970703
102.0,29.0,29.0,0.09245562553405762
25.0,8.0,8.0,0.02279353141784668
56.0,14.0,14.0,0.05035281181335449
37.0,13.0,13.0,0.03561568260192871
54.0,20.0,20.0,0.05038952827453613
25.0,13.0,13.0,0.024847030639648438
89.0,14.0,14.0,0.09519505500793457
27.0,10.0,10.0,0.022739171981811523
36.0,13.0,13.0,0.033123016357421875
35.0,16.0,16.0,0.02647995948791504
38.0,13.0,13.0,0.037851810455322266
28.0,14.0,14.0,0.02257084846496582
107.0,41.0,41.0,0.08828115463256836
103.0,36.0,36.0,0.08485627174377441
23.0,11.0,11.0,0.02057957649230957
30.0,14.0,14.0,0.03112649917602539
31.0,3.0,3.0,0.02885913848876953
28.0,10.0,10.0,0.02506256103515625
50.0,22.0,22.0,0.04401564598083496
129.0,37.0,37.0,0.11367630958557129
90.0,33.0,33.0,0.07350015640258789
87.0,19.0,19.0,0.08050823211669922
43.0,15.0,15.0,0.03818225860595703
208.0,60.0,60.0,0.1755058765411377
96.0,31.0,31.0,0.07535409927368164
90.0,20.0,20.0,0.08238577842712402
56.0,19.0,19.0,0.059082984924316406
55.0,19.0,19.0,0.04709506034851074
18.0,4.0,4.0,0.016788005828857422
48.0,21.0,21.0,0.04065871238708496
34.0,12.0,12.0,0.02974724769592285
30.0,8.0,8.0,0.02811455726623535
100.0,29.0,29.0,0.08265018463134766
68.0,18.0,18.0,0.05345511436462402
83.0,27.0,27.0,0.06647539138793945
27.0,9.0,9.0,0.023288726806640625
48.0,24.0,24.0,0.043315887451171875
48.0,11.0,11.0,0.05450129508972168
24.0,12.0,12.0,0.02435159683227539
84.0,28.0,28.0,0.08010697364807129
54.0,23.0,23.0,0.04803800582885742
60.0,27.0,27.0,0.05053424835205078
40.0,17.0,17.0,0.027646303176879883
173.0,58.0,58.0,0.1366441249847412
75.0,37.0,37.0,0.06509041786193848
31.0,14.0,14.0,0.02603888511657715
33.0,20.0,20.0,0.02667403221130371
134.0,60.0,60.0,0.12129378318786621
39.0,28.0,28.0,0.036177635192871094
72.0,29.0,29.0,0.06309318542480469
17.0,4.0,4.0,0.013651847839355469
67.0,20.0,20.0,0.05581212043762207
28.0,16.0,16.0,0.02001166343688965
40.0,12.0,12.0,0.0408785343170166
140.0,31.0,31.0,0.11716651916503906
24.0,12.0,12.0,0.019504785537719727
61.0,33.0,33.0,0.05687141418457031
56.0,5.0,5.0,0.05324530601501465
34.0,3.0,3.0,0.029973268508911133
26.0,5.0,5.0,0.02046942710876465
26.0,9.0,9.0,0.02332019805908203
37.0,15.0,15.0,0.03515267372131348
64.0,28.0,28.0,0.06204581260681152
70.0,12.0,12.0,0.055143117904663086
47.0,23.0,23.0,0.04784226417541504
251.0,66.0,66.0,0.23612642288208008
27.0,16.0,16.0,0.022091388702392578
43.0,23.0,23.0,0.03338766098022461
30.0,14.0,14.0,0.02398824691772461
37.0,13.0,13.0,0.031050443649291992
25.0,8.0,8.0,0.02370738983154297
140.0,39.0,39.0,0.14066600799560547
86.0,21.0,21.0,0.07378101348876953
53.0,19.0,19.0,0.04708671569824219
40.0,18.0,18.0,0.0345454216003418
159.0,38.0,38.0,0.16892552375793457
24.0,12.0,12.0,0.020543813705444336
50.0,24.0,24.0,0.04690146446228027
15.0,4.0,4.0,0.016697168350219727
163.0,30.0,30.0,0.15384554862976074
27.0,16.0,16.0,0.024110794067382812
46.0,21.0,21.0,0.04116988182067871
34.0,17.0,17.0,0.04575395584106445
27.0,16.0,16.0,0.028366804122924805
48.0,16.0,16.0,0.04723548889160156
100.0,27.0,27.0,0.1067197322845459
23.0,9.0,9.0,0.022822856903076172
52.0,18.0,18.0,0.04819130897521973
24.0,8.0,8.0,0.02047896385192871
69.0,20.0,20.0,0.06686615943908691
77.0,16.0,16.0,0.07150697708129883
136.0,43.0,43.0,0.11907100677490234
43.0,29.0,29.0,0.031470298767089844
37.0,16.0,16.0,0.02812337875366211
29.0,11.0,11.0,0.025602102279663086
36.0,19.0,19.0,0.03022003173828125
91.0,35.0,35.0,0.0818169116973877
27.0,8.0,8.0,0.026573657989501953
19.0,8.0,8.0,0.014075517654418945
236.0,69.0,69.0,0.20151948928833008
