Timesteps,Collisions,Steps Waited,Real-Time Elapsed
78.0,10.0,10.0,0.048645973205566406
12.0,0.0,0.0,0.005871772766113281
17.0,2.0,2.0,0.008328676223754883
107.0,16.0,16.0,0.047590017318725586
27.0,6.0,6.0,0.014054298400878906
14.0,2.0,2.0,0.0052645206451416016
19.0,1.0,1.0,0.00800943374633789
55.0,11.0,11.0,0.019304990768432617
36.0,7.0,7.0,0.012201547622680664
82.0,18.0,18.0,0.03150677680969238
31.0,6.0,6.0,0.011209964752197266
41.0,8.0,8.0,0.013552427291870117
34.0,2.0,2.0,0.011590719223022461
91.0,14.0,14.0,0.031182289123535156
67.0,8.0,8.0,0.024831771850585938
71.0,16.0,16.0,0.02532196044921875
20.0,5.0,5.0,0.007643461227416992
25.0,5.0,5.0,0.009009361267089844
37.0,7.0,7.0,0.013968944549560547
15.0,2.0,2.0,0.00668025016784668
60.0,7.0,7.0,0.02490687370300293
31.0,5.0,5.0,0.012374162673950195
121.0,14.0,14.0,0.04548931121826172
78.0,18.0,18.0,0.028801679611206055
51.0,2.0,2.0,0.027923107147216797
50.0,7.0,7.0,0.02945256233215332
75.0,10.0,10.0,0.03533291816711426
32.0,4.0,4.0,0.013812780380249023
49.0,7.0,7.0,0.01819753646850586
107.0,13.0,13.0,0.04793357849121094
43.0,4.0,4.0,0.020760059356689453
55.0,10.0,10.0,0.02948927879333496
20.0,2.0,2.0,0.012660741806030273
33.0,8.0,8.0,0.02071356773376465
11.0,0.0,0.0,0.0060253143310546875
68.0,7.0,7.0,0.032530784606933594
17.0,5.0,5.0,0.005936622619628906
14.0,1.0,1.0,0.00426936149597168
12.0,1.0,1.0,0.005113840103149414
70.0,14.0,14.0,0.02903008460998535
76.0,13.0,13.0,0.031247377395629883
19.0,5.0,5.0,0.007174253463745117
37.0,3.0,3.0,0.012481212615966797
74.0,15.0,15.0,0.02795100212097168
17.0,3.0,3.0,0.0062808990478515625
12.0,0.0,0.0,0.005038738250732422
51.0,9.0,9.0,0.019094228744506836
13.0,3.0,3.0,0.007578372955322266
86.0,24.0,24.0,0.03738880157470703
40.0,5.0,5.0,0.015033483505249023
103.0,18.0,18.0,0.043192148208618164
13.0,0.0,0.0,0.006333589553833008
18.0,5.0,5.0,0.009856224060058594
17.0,2.0,2.0,0.010662317276000977
65.0,16.0,16.0,0.038114309310913086
20.0,4.0,4.0,0.010892868041992188
28.0,2.0,2.0,0.018916606903076172
14.0,0.0,0.0,0.010665655136108398
51.0,5.0,5.0,0.027324199676513672
30.0,5.0,5.0,0.019745588302612305
17.0,3.0,3.0,0.012999296188354492
25.0,3.0,3.0,0.019636869430541992
18.0,1.0,1.0,0.011227607727050781
87.0,10.0,10.0,0.05157589912414551
48.0,7.0,7.0,0.029920578002929688
38.0,6.0,6.0,0.02205371856689453
24.0,3.0,3.0,0.015034675598144531
12.0,0.0,0.0,0.007412910461425781
39.0,7.0,7.0,0.026668310165405273
23.0,4.0,4.0,0.01796698570251465
21.0,2.0,2.0,0.013656139373779297
65.0,10.0,10.0,0.03544807434082031
36.0,6.0,6.0,0.020371675491333008
42.0,7.0,7.0,0.02607250213623047
37.0,4.0,4.0,0.020297527313232422
34.0,5.0,5.0,0.02216172218322754
48.0,4.0,4.0,0.031419992446899414
