Timesteps,Collisions,Steps Waited,Real-Time Elapsed
32.0,0.0,0.0,0.0014698505401611328
14.0,0.0,0.0,0.000993490219116211
26.0,0.0,0.0,0.0010225772857666016
91.0,0.0,0.0,0.002428770065307617
25.0,0.0,0.0,0.0
44.0,1.0,1.0,0.002026081085205078
13.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0010149478912353516
24.0,0.0,0.0,0.0013167858123779297
53.0,0.0,0.0,0.00112152099609375
21.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0020339488983154297
13.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0005087852478027344
69.0,0.0,0.0,0.0020241737365722656
15.0,0.0,0.0,0.001169443130493164
26.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0005099773406982422
47.0,0.0,0.0,0.0020341873168945312
26.0,0.0,0.0,0.0010287761688232422
39.0,0.0,0.0,0.0009970664978027344
11.0,0.0,0.0,0.0010039806365966797
63.0,0.0,0.0,0.0012273788452148438
25.0,1.0,1.0,0.0
28.0,0.0,0.0,0.0010330677032470703
24.0,0.0,0.0,0.0010094642639160156
32.0,0.0,0.0,0.001178741455078125
42.0,0.0,0.0,0.0011682510375976562
94.0,0.0,0.0,0.003037691116333008
107.0,0.0,0.0,0.002517223358154297
53.0,0.0,0.0,0.0010123252868652344
38.0,0.0,0.0,0.0010073184967041016
20.0,0.0,0.0,0.0010025501251220703
29.0,1.0,1.0,0.0
41.0,0.0,0.0,0.0010335445404052734
39.0,0.0,0.0,0.002008199691772461
71.0,0.0,0.0,0.002514362335205078
11.0,0.0,0.0,0.0
56.0,0.0,0.0,0.002141714096069336
13.0,0.0,0.0,0.0010099411010742188
33.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
52.0,0.0,0.0,0.002168893814086914
19.0,0.0,0.0,0.0005064010620117188
12.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0016567707061767578
26.0,0.0,0.0,0.0010037422180175781
27.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0010132789611816406
20.0,0.0,0.0,0.0010111331939697266
12.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
43.0,0.0,0.0,0.001009225845336914
28.0,0.0,0.0,0.0010085105895996094
21.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
29.0,1.0,1.0,0.0005056858062744141
17.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0012063980102539062
91.0,0.0,0.0,0.002590656280517578
15.0,0.0,0.0,0.0010013580322265625
16.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0013537406921386719
99.0,1.0,1.0,0.002630949020385742
27.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0010199546813964844
19.0,0.0,0.0,0.0009982585906982422
63.0,0.0,0.0,0.0019826889038085938
11.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0015132427215576172
16.0,0.0,0.0,0.0009999275207519531
33.0,0.0,0.0,0.0013957023620605469
35.0,0.0,0.0,0.0010089874267578125
14.0,0.0,0.0,0.0
45.0,1.0,1.0,0.0015189647674560547
15.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0
35.0,0.0,0.0,0.001003265380859375
44.0,0.0,0.0,0.0013527870178222656
85.0,0.0,0.0,0.0025305747985839844
32.0,0.0,0.0,0.001005411148071289
65.0,0.0,0.0,0.0019981861114501953
14.0,0.0,0.0,0.0011093616485595703
23.0,0.0,0.0,0.0005059242248535156
108.0,0.0,0.0,0.002503633499145508
31.0,0.0,0.0,0.0022077560424804688
60.0,0.0,0.0,0.0017342567443847656
12.0,0.0,0.0,0.0005066394805908203
31.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
79.0,0.0,0.0,0.002104520797729492
32.0,0.0,0.0,0.0
52.0,0.0,0.0,0.002010822296142578
14.0,0.0,0.0,0.0
42.0,1.0,1.0,0.0014805793762207031
21.0,0.0,0.0,0.0
57.0,0.0,0.0,0.001992464065551758
37.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0011568069458007812
12.0,0.0,0.0,0.0011341571807861328
12.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0005054473876953125
22.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0013420581817626953
25.0,0.0,0.0,0.001007080078125
19.0,0.0,0.0,0.0010013580322265625
31.0,0.0,0.0,0.0015192031860351562
46.0,1.0,1.0,0.001005411148071289
12.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0010097026824951172
63.0,0.0,0.0,0.001897573471069336
13.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0015151500701904297
14.0,0.0,0.0,0.0
32.0,0.0,0.0,0.00099945068359375
64.0,0.0,0.0,0.0019991397857666016
15.0,0.0,0.0,0.00012445449829101562
14.0,0.0,0.0,0.0005071163177490234
44.0,0.0,0.0,0.0013279914855957031
32.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0020029544830322266
27.0,0.0,0.0,0.0001418590545654297
37.0,0.0,0.0,0.0
78.0,0.0,0.0,0.002511262893676758
51.0,0.0,0.0,0.001298666000366211
56.0,0.0,0.0,0.002069711685180664
30.0,0.0,0.0,0.0005040168762207031
56.0,0.0,0.0,0.0010104179382324219
60.0,0.0,0.0,0.0020046234130859375
37.0,0.0,0.0,0.0010960102081298828
26.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0016603469848632812
30.0,0.0,0.0,0.0009982585906982422
101.0,0.0,0.0,0.002569913864135742
69.0,0.0,0.0,0.0025200843811035156
40.0,0.0,0.0,0.002012014389038086
25.0,0.0,0.0,0.0013318061828613281
38.0,0.0,0.0,0.001012563705444336
46.0,0.0,0.0,0.001008749008178711
37.0,0.0,0.0,0.0016486644744873047
31.0,0.0,0.0,0.0015518665313720703
25.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0017943382263183594
14.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0
43.0,0.0,0.0,0.001009225845336914
14.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0014052391052246094
24.0,0.0,0.0,0.0010013580322265625
40.0,0.0,0.0,0.0011606216430664062
18.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0005056858062744141
13.0,0.0,0.0,0.0
12.0,0.0,0.0,0.000507354736328125
33.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0010106563568115234
26.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0017414093017578125
11.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0
19.0,1.0,1.0,0.0
33.0,0.0,0.0,0.0010089874267578125
50.0,0.0,0.0,0.0016331672668457031
24.0,0.0,0.0,0.0010089874267578125
26.0,0.0,0.0,0.0010082721710205078
55.0,0.0,0.0,0.002004861831665039
31.0,0.0,0.0,0.001148223876953125
40.0,0.0,0.0,0.0010089874267578125
29.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0010120868682861328
140.0,0.0,0.0,0.003518819808959961
27.0,0.0,0.0,0.0
17.0,0.0,0.0,0.00013518333435058594
13.0,0.0,0.0,0.0005054473876953125
14.0,0.0,0.0,0.0005066394805908203
13.0,0.0,0.0,0.0005178451538085938
34.0,0.0,0.0,0.0
41.0,0.0,0.0,0.001008749008178711
32.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0010099411010742188
12.0,0.0,0.0,0.0010061264038085938
110.0,0.0,0.0,0.004118680953979492
21.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0005049705505371094
13.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0005064010620117188
14.0,0.0,0.0,0.0005061626434326172
23.0,0.0,0.0,0.0
