Timesteps,Collisions,Steps Waited,Real-Time Elapsed
302.0,6.0,6.0,0.18992376327514648
1116.0,16.0,16.0,0.6675162315368652
486.0,11.0,11.0,0.2809569835662842
239.0,6.0,6.0,0.1433262825012207
1029.0,5.0,5.0,0.5717687606811523
77.0,2.0,2.0,0.04192781448364258
232.0,7.0,7.0,0.12993788719177246
126.0,6.0,6.0,0.06866192817687988
400.0,10.0,10.0,0.22129225730895996
120.0,4.0,4.0,0.0877540111541748
3127.0,23.0,23.0,1.7726807594299316
166.0,5.0,5.0,0.0914163589477539
30.0,0.0,0.0,0.0168149471282959
60.0,3.0,3.0,0.032538652420043945
67.0,0.0,0.0,0.036673545837402344
169.0,2.0,2.0,0.09369063377380371
365.0,7.0,7.0,0.22410941123962402
562.0,8.0,8.0,0.3101191520690918
213.0,1.0,1.0,0.11775565147399902
56.0,5.0,5.0,0.03106522560119629
935.0,18.0,18.0,0.5162007808685303
495.0,7.0,7.0,0.2783963680267334
148.0,8.0,8.0,0.08506011962890625
260.0,5.0,5.0,0.15028071403503418
290.0,6.0,6.0,0.16029596328735352
189.0,5.0,5.0,0.10203075408935547
64.0,2.0,2.0,0.03695416450500488
133.0,7.0,7.0,0.0729978084564209
1238.0,19.0,19.0,0.7111053466796875
153.0,3.0,3.0,0.08287429809570312
463.0,14.0,14.0,0.25625085830688477
252.0,1.0,1.0,0.13852882385253906
108.0,7.0,7.0,0.057668447494506836
1017.0,9.0,9.0,0.5600807666778564
197.0,2.0,2.0,0.10628008842468262
311.0,8.0,8.0,0.17918825149536133
69.0,3.0,3.0,0.03812980651855469
364.0,7.0,7.0,0.21150469779968262
1194.0,9.0,9.0,0.679776668548584
237.0,3.0,3.0,0.12998414039611816
861.0,10.0,10.0,0.47026705741882324
480.0,15.0,15.0,0.26195836067199707
260.0,7.0,7.0,0.14371109008789062
434.0,6.0,6.0,0.24135756492614746
522.0,12.0,12.0,0.29633259773254395
958.0,9.0,9.0,0.5533444881439209
219.0,2.0,2.0,0.12263870239257812
548.0,5.0,5.0,0.2986316680908203
457.0,3.0,3.0,0.2556328773498535
103.0,1.0,1.0,0.05462765693664551
117.0,3.0,3.0,0.06477236747741699
424.0,5.0,5.0,0.23326492309570312
83.0,1.0,1.0,0.04602766036987305
118.0,1.0,1.0,0.06717348098754883
59.0,0.0,0.0,0.035633087158203125
591.0,16.0,16.0,0.3370201587677002
139.0,9.0,9.0,0.07558965682983398
333.0,6.0,6.0,0.21506905555725098
64.0,0.0,0.0,0.035703182220458984
236.0,7.0,7.0,0.14352011680603027
141.0,4.0,4.0,0.08462381362915039
192.0,6.0,6.0,0.10825443267822266
237.0,8.0,8.0,0.15720605850219727
428.0,8.0,8.0,0.2668886184692383
364.0,16.0,16.0,0.2129204273223877
495.0,9.0,9.0,0.3240325450897217
1444.0,6.0,6.0,0.8565094470977783
591.0,9.0,9.0,0.32250142097473145
1374.0,5.0,5.0,0.7548830509185791
935.0,14.0,14.0,0.5259146690368652
1253.0,14.0,14.0,0.7099623680114746
164.0,4.0,4.0,0.08660769462585449
416.0,8.0,8.0,0.22615981101989746
81.0,0.0,0.0,0.04389357566833496
1209.0,7.0,7.0,0.6660385131835938
200.0,0.0,0.0,0.1113433837890625
329.0,9.0,9.0,0.17789411544799805
241.0,0.0,0.0,0.1330711841583252
247.0,13.0,13.0,0.13513588905334473
1300.0,13.0,13.0,0.7316298484802246
105.0,1.0,1.0,0.05559420585632324
1091.0,15.0,15.0,0.5959029197692871
748.0,16.0,16.0,0.41512107849121094
122.0,10.0,10.0,0.06724691390991211
543.0,4.0,4.0,0.29695820808410645
38.0,2.0,2.0,0.02032923698425293
254.0,8.0,8.0,0.13847851753234863
932.0,3.0,3.0,0.52998948097229
292.0,7.0,7.0,0.16091489791870117
283.0,9.0,9.0,0.15511775016784668
342.0,5.0,5.0,0.191375732421875
300.0,1.0,1.0,0.16779232025146484
386.0,7.0,7.0,0.21524477005004883
460.0,8.0,8.0,0.2538001537322998
333.0,7.0,7.0,0.18777990341186523
464.0,0.0,0.0,0.25510096549987793
422.0,12.0,12.0,0.24077820777893066
1161.0,8.0,8.0,0.6567246913909912
182.0,2.0,2.0,0.09844136238098145
64.0,1.0,1.0,0.03369951248168945
50.0,3.0,3.0,0.028127431869506836
144.0,11.0,11.0,0.07915925979614258
175.0,8.0,8.0,0.0963284969329834
326.0,6.0,6.0,0.18068265914916992
311.0,3.0,3.0,0.16976451873779297
295.0,3.0,3.0,0.16431474685668945
412.0,4.0,4.0,0.22714900970458984
122.0,5.0,5.0,0.06909394264221191
675.0,15.0,15.0,0.4331216812133789
217.0,5.0,5.0,0.12104654312133789
