Timesteps,Collisions,Steps Waited,Real-Time Elapsed
515.0,14.0,14.0,1.1764640808105469
182.0,1.0,1.0,0.34319210052490234
695.0,16.0,16.0,1.4740145206451416
133.0,2.0,2.0,0.319612979888916
119.0,6.0,6.0,0.25492429733276367
129.0,8.0,8.0,0.2732253074645996
109.0,1.0,1.0,0.20864057540893555
109.0,6.0,6.0,0.19912505149841309
432.0,13.0,13.0,0.8198592662811279
584.0,20.0,20.0,1.2074201107025146
46.0,2.0,2.0,0.09317612648010254
134.0,3.0,3.0,0.250866174697876
83.0,0.0,0.0,0.16448450088500977
473.0,10.0,10.0,0.9154918193817139
278.0,4.0,4.0,0.5531208515167236
498.0,13.0,13.0,0.9385790824890137
105.0,3.0,3.0,0.2010953426361084
1038.0,22.0,22.0,2.1372640132904053
605.0,13.0,13.0,1.2385361194610596
757.0,15.0,15.0,1.5684382915496826
117.0,1.0,1.0,0.22456765174865723
491.0,14.0,14.0,1.0814006328582764
378.0,14.0,14.0,0.7328262329101562
55.0,3.0,3.0,0.12280845642089844
339.0,12.0,12.0,0.7290802001953125
474.0,3.0,3.0,0.9411144256591797
374.0,4.0,4.0,0.811495304107666
595.0,15.0,15.0,1.277343511581421
1277.0,38.0,38.0,2.6999499797821045
182.0,3.0,3.0,0.3608744144439697
76.0,1.0,1.0,0.17506742477416992
178.0,5.0,5.0,0.407289981842041
512.0,6.0,6.0,1.027921438217163
716.0,14.0,14.0,1.4975953102111816
256.0,8.0,8.0,0.5102753639221191
251.0,8.0,8.0,0.523390531539917
152.0,1.0,1.0,0.37961506843566895
156.0,6.0,6.0,0.3195056915283203
603.0,6.0,6.0,1.2326130867004395
687.0,7.0,7.0,1.4513561725616455
805.0,16.0,16.0,1.571166753768921
242.0,7.0,7.0,0.5176823139190674
326.0,7.0,7.0,0.7219610214233398
314.0,3.0,3.0,0.6581485271453857
417.0,10.0,10.0,0.8881714344024658
583.0,11.0,11.0,1.246809959411621
415.0,10.0,10.0,0.8409373760223389
289.0,12.0,12.0,0.6024410724639893
370.0,7.0,7.0,0.7651963233947754
375.0,6.0,6.0,0.7931909561157227
736.0,15.0,15.0,1.5356285572052002
437.0,9.0,9.0,0.8974997997283936
59.0,1.0,1.0,0.14107608795166016
121.0,5.0,5.0,0.2877967357635498
420.0,8.0,8.0,0.8446757793426514
558.0,13.0,13.0,1.1257386207580566
106.0,5.0,5.0,0.25682950019836426
812.0,13.0,13.0,1.6013741493225098
78.0,0.0,0.0,0.17275261878967285
141.0,7.0,7.0,0.2910025119781494
737.0,23.0,23.0,1.5119383335113525
502.0,8.0,8.0,1.08748459815979
631.0,8.0,8.0,1.3034260272979736
705.0,19.0,19.0,1.4967820644378662
665.0,4.0,4.0,1.3547537326812744
56.0,0.0,0.0,0.11282587051391602
402.0,10.0,10.0,0.8576102256774902
81.0,0.0,0.0,0.1727287769317627
790.0,26.0,26.0,1.6228547096252441
145.0,2.0,2.0,0.2913703918457031
395.0,22.0,22.0,0.8397841453552246
467.0,16.0,16.0,1.0000033378601074
656.0,23.0,23.0,1.3520874977111816
171.0,3.0,3.0,0.3766920566558838
283.0,10.0,10.0,0.6401150226593018
770.0,23.0,23.0,1.5040638446807861
162.0,1.0,1.0,0.354661226272583
388.0,15.0,15.0,0.7997481822967529
343.0,9.0,9.0,0.6698670387268066
740.0,12.0,12.0,1.5366737842559814
1145.0,24.0,24.0,2.3686671257019043
94.0,2.0,2.0,0.1732804775238037
871.0,20.0,20.0,1.8104066848754883
556.0,10.0,10.0,1.083878755569458
540.0,17.0,17.0,1.1443548202514648
310.0,4.0,4.0,0.6363794803619385
715.0,20.0,20.0,1.4849600791931152
763.0,15.0,15.0,1.5360453128814697
318.0,7.0,7.0,0.6833169460296631
214.0,4.0,4.0,0.44434237480163574
231.0,5.0,5.0,0.4787940979003906
98.0,2.0,2.0,0.2101140022277832
42.0,0.0,0.0,0.09416723251342773
478.0,10.0,10.0,0.9752190113067627
97.0,3.0,3.0,0.23279905319213867
192.0,10.0,10.0,0.4132864475250244
418.0,11.0,11.0,0.8765106201171875
65.0,1.0,1.0,0.1380901336669922
67.0,2.0,2.0,0.14054441452026367
59.0,0.0,0.0,0.12587189674377441
288.0,7.0,7.0,0.6668498516082764
439.0,7.0,7.0,0.9270281791687012
1473.0,49.0,49.0,3.1002938747406006
915.0,18.0,18.0,1.824866771697998
266.0,6.0,6.0,0.5603029727935791
459.0,9.0,9.0,0.9197275638580322
180.0,10.0,10.0,0.40027308464050293
369.0,8.0,8.0,0.6824939250946045
307.0,7.0,7.0,0.6646347045898438
231.0,13.0,13.0,0.4295799732208252
550.0,8.0,8.0,1.1071815490722656
170.0,3.0,3.0,0.32988715171813965
123.0,1.0,1.0,0.2898416519165039
137.0,4.0,4.0,0.2770543098449707
146.0,6.0,6.0,0.29057908058166504
321.0,4.0,4.0,0.6357154846191406
222.0,2.0,2.0,0.4795386791229248
229.0,8.0,8.0,0.47905993461608887
46.0,6.0,6.0,0.11502408981323242
257.0,6.0,6.0,0.5157773494720459
410.0,9.0,9.0,0.86411452293396
550.0,10.0,10.0,1.1430332660675049
740.0,23.0,23.0,1.486323595046997
240.0,7.0,7.0,0.4857296943664551
293.0,3.0,3.0,0.5858161449432373
592.0,14.0,14.0,1.1395931243896484
438.0,13.0,13.0,0.8941354751586914
140.0,5.0,5.0,0.26731443405151367
166.0,4.0,4.0,0.32270121574401855
346.0,7.0,7.0,0.7009527683258057
818.0,22.0,22.0,1.704718828201294
476.0,24.0,24.0,0.910369873046875
153.0,1.0,1.0,0.3278663158416748
187.0,1.0,1.0,0.360443115234375
82.0,4.0,4.0,0.1739804744720459
705.0,14.0,14.0,1.3976948261260986
171.0,4.0,4.0,0.4033772945404053
134.0,2.0,2.0,0.2679612636566162
217.0,3.0,3.0,0.4072275161743164
181.0,8.0,8.0,0.36904072761535645
151.0,1.0,1.0,0.30700182914733887
222.0,2.0,2.0,0.4596529006958008
880.0,20.0,20.0,1.8221564292907715
292.0,5.0,5.0,0.6310722827911377
56.0,5.0,5.0,0.1254568099975586
356.0,10.0,10.0,0.7508840560913086
59.0,2.0,2.0,0.12610387802124023
675.0,12.0,12.0,1.3872804641723633
61.0,0.0,0.0,0.15134978294372559
982.0,15.0,15.0,2.0083489418029785
1958.0,60.0,60.0,3.9629998207092285
488.0,5.0,5.0,1.0427441596984863
257.0,6.0,6.0,0.5137414932250977
201.0,4.0,4.0,0.3851029872894287
143.0,2.0,2.0,0.3069286346435547
132.0,1.0,1.0,0.28255367279052734
271.0,9.0,9.0,0.6065073013305664
181.0,7.0,7.0,0.3568997383117676
629.0,24.0,24.0,1.3197112083435059
249.0,5.0,5.0,0.5259525775909424
186.0,3.0,3.0,0.3805367946624756
113.0,5.0,5.0,0.25903773307800293
185.0,4.0,4.0,0.3971576690673828
440.0,7.0,7.0,0.8568201065063477
512.0,10.0,10.0,1.0828490257263184
74.0,1.0,1.0,0.13996052742004395
487.0,8.0,8.0,1.022273302078247
1309.0,28.0,28.0,2.668926954269409
655.0,13.0,13.0,1.304199457168579
99.0,4.0,4.0,0.1883993148803711
150.0,3.0,3.0,0.30677080154418945
255.0,10.0,10.0,0.5942251682281494
402.0,4.0,4.0,0.8130874633789062
979.0,20.0,20.0,2.0345306396484375
310.0,12.0,12.0,0.6285996437072754
1246.0,31.0,31.0,2.5658910274505615
176.0,3.0,3.0,0.37004971504211426
136.0,3.0,3.0,0.25125575065612793
1157.0,29.0,29.0,2.500473976135254
69.0,1.0,1.0,0.14653277397155762
161.0,5.0,5.0,0.31021928787231445
