Timesteps,Collisions,Steps Waited
1503,17,17
11905,119,119
1221,9,9
147,0,0
2633,28,28
1117,13,13
2373,22,22
773,4,4
335,4,4
949,12,12
1991,18,18
2678,27,27
2701,29,29
231,3,3
1096,13,13
1328,17,17
4077,36,36
3181,34,34
1531,15,15
700,11,11
883,7,7
1193,16,16
2690,29,29
2345,24,24
1147,17,17
694,10,10
2043,21,21
2062,17,17
907,10,10
1833,20,20
327,2,2
2902,23,23
4075,46,46
4674,34,34
1266,13,13
393,7,7
2078,27,27
7521,85,85
10394,95,95
2456,22,22
2076,18,18
1037,9,9
1953,19,19
395,6,6
446,3,3
522,7,7
1805,18,18
163,1,1
524,6,6
2448,26,26
2108,21,21
3678,31,31
1218,10,10
991,5,5
316,1,1
797,4,4
1456,17,17
1367,15,15
535,11,11
153,1,1
6329,75,75
1278,8,8
3587,36,36
422,6,6
2369,24,24
192,2,2
273,4,4
1762,12,12
383,7,7
3379,38,38
1103,3,3
5889,62,62
847,15,15
8163,81,81
1773,20,20
304,1,1
756,6,6
704,9,9
927,11,11
1725,17,17
465,2,2
404,4,4
2067,22,22
1659,12,12
1557,20,20
125,0,0
1318,14,14
3237,27,27
4074,40,40
994,8,8
1223,11,11
356,4,4
179,3,3
2475,23,23
352,6,6
1143,19,19
529,7,7
4100,37,37
1126,12,12
559,8,8
1242,18,18
2785,31,31
1293,17,17
1213,16,16
526,4,4
489,3,3
1005,10,10
2411,31,31
193,4,4
1698,22,22
859,13,13
1436,18,18
164,2,2
2800,28,28
1522,17,17
454,5,5
1614,12,12
1231,11,11
596,6,6
1000,8,8
3238,28,28
2925,22,22
2032,25,25
1594,16,16
515,2,2
176,1,1
463,7,7
284,3,3
2849,29,29
417,4,4
412,0,0
2516,24,24
3839,36,36
4162,47,47
2007,21,21
4108,46,46
243,2,2
241,2,2
313,3,3
738,7,7
2576,21,21
546,9,9
633,5,5
898,6,6
905,5,5
1249,12,12
1845,17,17
323,3,3
10342,99,99
3840,43,43
5557,57,57
1176,16,16
313,4,4
1159,9,9
2358,33,33
692,7,7
424,4,4
162,2,2
1524,11,11
348,2,2
3578,36,36
543,7,7
1074,14,14
1961,15,15
450,7,7
2095,19,19
256,9,9
1915,13,13
4488,46,46
2322,22,22
1282,8,8
5663,60,60
1058,10,10
4965,53,53
256,3,3
7032,71,71
1802,24,24
747,8,8
956,10,10
630,7,7
6045,58,58
359,3,3
301,2,2
1827,20,20
2149,24,24
2029,17,17
486,5,5
2166,24,24
400,9,9
