Timesteps,Collisions,Steps Waited
2350,0,0
378,0,0
206,0,0
470,0,0
4093,0,0
486,0,0
1021,0,0
547,0,0
6218,0,0
2033,0,0
1343,0,0
1724,0,0
2309,0,0
796,0,0
1525,0,0
2563,0,0
1586,0,0
913,0,0
347,0,0
4981,0,0
1347,0,0
667,0,0
1076,0,0
250,0,0
3353,0,0
1554,0,0
718,0,0
4550,0,0
1651,0,0
388,0,0
1903,0,0
1229,0,0
370,0,0
1425,0,0
1867,0,0
1607,0,0
248,0,0
2117,0,0
335,0,0
3338,0,0
939,0,0
119,0,0
858,0,0
3912,0,0
336,0,0
502,0,0
564,0,0
1304,0,0
1647,0,0
275,0,0
3512,0,0
8687,0,0
1790,0,0
489,0,0
687,0,0
727,0,0
334,0,0
1078,0,0
4324,0,0
1003,0,0
500,0,0
3498,0,0
2023,0,0
5601,0,0
861,0,0
1138,0,0
1179,0,0
2314,0,0
1217,0,0
390,0,0
298,0,0
3392,0,0
6671,0,0
643,0,0
1450,0,0
390,0,0
3655,0,0
1823,0,0
2615,0,0
2236,0,0
1494,0,0
3346,0,0
1866,0,0
596,0,0
723,0,0
265,0,0
1574,0,0
499,0,0
1701,0,0
890,0,0
203,0,0
1545,0,0
873,0,0
3189,0,0
2419,0,0
1386,0,0
356,0,0
1246,0,0
328,0,0
1663,0,0
1801,0,0
1917,0,0
4146,0,0
3360,0,0
2997,0,0
1352,0,0
1231,0,0
846,0,0
1707,0,0
433,0,0
1254,0,0
1083,0,0
801,0,0
2296,0,0
559,0,0
434,0,0
2788,0,0
4933,0,0
743,0,0
2201,0,0
1253,0,0
3770,0,0
1266,0,0
1231,0,0
5014,0,0
1027,0,0
2753,0,0
150,0,0
112,0,0
609,0,0
2492,0,0
1074,0,0
5284,0,0
1524,0,0
1221,0,0
437,0,0
824,0,0
856,0,0
972,0,0
1247,0,0
766,0,0
1367,0,0
525,0,0
1476,0,0
4428,0,0
565,0,0
3326,0,0
5321,0,0
1964,0,0
904,0,0
415,0,0
760,0,0
309,0,0
933,0,0
3915,0,0
2918,0,0
1867,0,0
499,0,0
2333,0,0
1229,0,0
3547,0,0
919,0,0
2549,0,0
1452,0,0
616,0,0
294,0,0
231,0,0
1431,0,0
2081,0,0
1492,0,0
476,0,0
265,0,0
2353,0,0
364,0,0
1647,0,0
1279,0,0
540,0,0
583,0,0
784,0,0
954,0,0
1050,0,0
703,0,0
969,0,0
3955,0,0
402,0,0
713,0,0
1744,0,0
6437,0,0
2685,0,0
872,0,0
357,0,0
2160,0,0
3207,0,0
2422,0,0
1155,0,0
4016,0,0
2986,0,0
3953,0,0
172,0,0
581,0,0
251,0,0
267,0,0
2411,0,0
1650,0,0
5324,0,0
685,0,0
399,0,0
1649,0,0
5657,0,0
2712,0,0
2790,0,0
522,0,0
400,0,0
1204,0,0
203,0,0
409,0,0
1264,0,0
1710,0,0
1284,0,0
2140,0,0
651,0,0
4504,0,0
3056,0,0
479,0,0
175,0,0
1789,0,0
2121,0,0
988,0,0
554,0,0
1250,0,0
1146,0,0
398,0,0
1734,0,0
5996,0,0
1570,0,0
193,0,0
2835,0,0
401,0,0
220,0,0
915,0,0
9148,0,0
491,0,0
2707,0,0
2763,0,0
2232,0,0
1092,0,0
1678,0,0
1004,0,0
1095,0,0
903,0,0
1043,0,0
3842,0,0
296,0,0
2388,0,0
3099,0,0
708,0,0
562,0,0
1419,0,0
1612,0,0
704,0,0
518,0,0
4887,0,0
2520,0,0
1701,0,0
4387,0,0
792,0,0
5497,0,0
3479,0,0
3890,0,0
464,0,0
1581,0,0
507,0,0
358,0,0
849,0,0
963,0,0
1917,0,0
2888,0,0
4910,0,0
3504,0,0
983,0,0
764,0,0
1235,0,0
373,0,0
