Timesteps,Collisions,Steps Waited
421,7,7
174,2,2
3567,14,14
178,4,4
3265,24,24
6354,20,20
731,8,8
2397,5,5
4904,26,26
1809,23,23
1010,7,7
10145,43,43
1448,13,13
597,8,8
4943,20,20
4971,10,10
359,5,5
313,0,0
122,7,7
945,9,9
1674,11,11
1640,22,22
4108,15,15
987,9,9
1180,14,14
1008,15,15
936,6,6
619,11,11
2287,9,9
744,2,2
741,12,12
2368,13,13
780,11,11
1312,7,7
1918,3,3
797,1,1
1861,16,16
270,5,5
251,2,2
7486,34,34
3488,9,9
3835,13,13
7144,29,29
2209,20,20
472,0,0
640,4,4
3225,27,27
1312,17,17
3667,14,14
2521,6,6
5339,17,17
385,6,6
4226,29,29
346,1,1
806,15,15
4069,15,15
2851,16,16
905,8,8
1579,3,3
2177,17,17
369,6,6
1366,15,15
402,8,8
2889,12,12
3300,15,15
532,17,17
2302,10,10
993,6,6
2712,24,24
1681,6,6
1126,8,8
537,8,8
4919,9,9
765,9,9
517,3,3
1789,5,5
5012,27,27
970,5,5
10849,39,39
1856,4,4
1515,4,4
752,16,16
4161,23,23
6269,27,27
1502,4,4
2018,15,15
982,6,6
369,3,3
1282,15,15
2515,10,10
1001,10,10
406,1,1
1980,8,8
1731,13,13
287,1,1
2159,13,13
975,12,12
575,4,4
613,7,7
2725,12,12
2438,9,9
1274,9,9
152,4,4
1004,7,7
1218,6,6
1995,15,15
7083,40,40
1902,10,10
1875,17,17
5689,16,16
474,10,10
4295,16,16
4853,22,22
564,7,7
813,7,7
1020,8,8
831,13,13
346,1,1
787,8,8
498,4,4
525,6,6
858,8,8
1290,9,9
2767,13,13
1120,10,10
468,15,15
2078,13,13
766,5,5
1229,7,7
1460,4,4
1226,13,13
1093,1,1
854,1,1
1042,8,8
2441,10,10
3817,13,13
5380,16,16
2149,4,4
440,6,6
558,1,1
6530,18,18
567,1,1
656,9,9
6452,25,25
2445,16,16
1900,13,13
934,5,5
3077,29,29
900,16,16
1444,7,7
3529,20,20
2428,13,13
376,9,9
240,0,0
969,6,6
883,8,8
2210,7,7
754,10,10
1134,10,10
922,9,9
365,8,8
692,9,9
1080,2,2
363,8,8
862,10,10
745,8,8
1537,14,14
2820,13,13
821,9,9
3850,17,17
1830,5,5
2478,9,9
2236,16,16
1485,10,10
1619,14,14
398,18,18
595,8,8
3845,30,30
2022,17,17
575,9,9
865,7,7
2515,21,21
3992,18,18
2451,5,5
1834,6,6
1920,10,10
1919,10,10
443,3,3
876,3,3
2543,6,6
3548,15,15
1176,11,11
358,0,0
1938,14,14
1033,3,3
984,2,2
2008,21,21
1060,3,3
434,7,7
2950,9,9
1516,2,2
1509,8,8
3559,17,17
1965,13,13
1095,13,13
985,19,19
4405,13,13
228,3,3
2048,5,5
235,2,2
658,10,10
4399,17,17
3053,36,36
6239,23,23
627,2,2
934,7,7
1694,8,8
685,5,5
748,5,5
854,10,10
958,8,8
412,10,10
8141,23,23
3020,26,26
1785,7,7
2446,22,22
662,7,7
1529,7,7
638,4,4
1865,11,11
440,6,6
1753,15,15
544,8,8
2868,9,9
3740,16,16
936,4,4
607,17,17
1681,10,10
583,8,8
2570,15,15
1071,6,6
1249,1,1
977,7,7
1538,11,11
3910,9,9
2571,13,13
1124,7,7
113,0,0
752,10,10
5812,28,28
518,7,7
432,4,4
3543,12,12
1823,8,8
221,7,7
4840,16,16
2384,11,11
2091,14,14
995,1,1
1753,19,19
751,2,2
4330,18,18
2053,3,3
1251,11,11
2081,7,7
336,8,8
1681,12,12
3428,16,16
4309,18,18
727,10,10
3104,6,6
3581,7,7
755,24,24
1053,7,7
