Timesteps,Collisions,Steps Waited
2569,23,23
898,4,4
560,12,12
352,11,11
2246,22,22
1735,11,11
1757,15,15
2267,11,11
2283,6,6
264,5,5
4873,14,14
1482,8,8
1316,13,13
1889,24,24
1844,16,16
1624,29,29
3038,15,15
3503,9,9
532,6,6
891,7,7
311,5,5
530,7,7
1935,13,13
409,9,9
5333,19,19
281,9,9
271,9,9
3332,22,22
911,15,15
1325,13,13
2423,11,11
1255,15,15
1115,11,11
845,7,7
1046,11,11
1376,11,11
4337,29,29
3053,12,12
573,10,10
643,14,14
162,10,10
2085,15,15
476,16,16
233,7,7
1640,12,12
178,3,3
585,7,7
1589,9,9
2073,9,9
8610,31,31
407,2,2
2014,24,24
302,5,5
1756,16,16
1653,19,19
599,17,17
10647,25,25
1473,19,19
2115,18,18
1146,10,10
685,9,9
688,14,14
2289,14,14
1998,11,11
2601,14,14
770,9,9
2099,17,17
2329,14,14
3123,26,26
1954,17,17
1851,24,24
735,4,4
326,13,13
811,15,15
1888,11,11
1257,6,6
1412,9,9
701,13,13
3281,21,21
1406,9,9
709,9,9
582,7,7
464,13,13
1447,16,16
601,3,3
2903,24,24
2151,14,14
2347,21,21
1445,22,22
1316,9,9
6868,18,18
2961,9,9
212,11,11
2687,26,26
357,6,6
1118,15,15
716,7,7
490,11,11
760,14,14
4030,24,24
777,5,5
521,5,5
791,8,8
3791,17,17
740,14,14
597,5,5
1445,20,20
3985,18,18
2450,34,34
3048,26,26
3986,24,24
2145,9,9
2373,23,23
5250,27,27
2182,12,12
2580,9,9
3203,9,9
2963,23,23
984,10,10
458,15,15
897,20,20
192,15,15
137,8,8
858,5,5
6260,25,25
1834,18,18
883,10,10
4990,13,13
2528,16,16
2452,14,14
573,7,7
515,4,4
2088,5,5
3173,13,13
838,17,17
881,7,7
2088,13,13
4302,26,26
1288,13,13
1982,16,16
5568,24,24
621,10,10
608,13,13
2616,10,10
1373,11,11
2033,21,21
3496,16,16
802,15,15
921,6,6
741,6,6
465,11,11
3211,21,21
583,2,2
1895,21,21
966,3,3
1714,15,15
427,8,8
1229,25,25
8443,37,37
1539,26,26
385,4,4
6958,27,27
1879,10,10
935,8,8
616,7,7
2461,19,19
510,5,5
487,12,12
2560,13,13
296,15,15
2878,15,15
951,18,18
737,6,6
1125,7,7
3823,16,16
548,7,7
496,12,12
1403,17,17
491,5,5
1364,5,5
2534,17,17
978,16,16
501,11,11
3164,15,15
908,8,8
2189,20,20
700,17,17
1939,11,11
1585,3,3
2211,13,13
2282,19,19
2000,24,24
785,10,10
1326,9,9
5261,24,24
1001,5,5
3365,19,19
1064,13,13
706,8,8
6789,25,25
7176,20,20
1307,10,10
