Timesteps,Collisions,Steps Waited
1468,9,0
636,0,0
2070,2,0
559,9,0
3838,4,0
790,0,0
1952,3,0
1393,5,0
847,5,0
1178,5,0
1006,4,0
1594,4,0
3261,12,0
994,6,0
305,5,0
6898,7,0
2200,0,0
1561,5,0
611,1,0
1112,4,0
5842,13,0
363,1,0
320,5,0
2605,6,0
1067,5,0
6244,12,0
991,6,0
310,1,0
497,2,0
4014,12,0
691,2,0
2310,0,0
433,0,0
3232,4,0
2160,1,0
5471,7,0
738,6,0
1988,6,0
3506,6,0
793,6,0
3323,11,0
2519,5,0
1690,7,0
368,7,0
253,0,0
1443,3,0
2113,5,0
1740,4,0
668,4,0
1896,5,0
864,0,0
783,2,0
1092,7,0
339,2,0
4966,10,0
355,2,0
3411,15,0
1802,1,0
3818,3,0
2813,7,0
598,5,0
1357,6,0
4763,4,0
4581,12,0
823,0,0
280,4,0
450,2,0
2122,6,0
7458,11,0
1998,6,0
1337,3,0
776,3,0
206,1,0
702,4,0
3254,12,0
318,5,0
3211,9,0
3073,7,0
1226,2,0
2204,5,0
724,2,0
408,0,0
671,0,0
3886,8,0
453,2,0
6072,12,0
3952,4,0
1088,8,0
1075,2,0
4423,9,0
3027,3,0
1124,6,0
3034,9,0
698,3,0
3478,8,0
3864,8,0
587,0,0
479,5,0
1712,7,0
6593,6,1
344,2,0
1333,2,0
2271,1,0
1227,0,0
717,9,0
7850,6,0
568,2,0
664,2,0
958,1,0
1455,7,0
430,4,0
836,7,0
4839,7,0
1600,3,0
2012,6,0
731,2,0
210,1,0
1392,8,0
323,5,0
5552,9,0
1733,5,0
1997,6,0
1310,3,0
393,5,0
3194,5,0
1136,2,0
1370,8,0
1988,0,0
1027,6,0
1119,2,0
403,3,0
5067,10,0
2393,8,0
685,2,0
1172,3,0
640,6,0
6406,7,0
1901,5,0
584,2,0
1047,1,0
320,5,0
2648,7,0
4799,11,0
1099,4,0
721,2,0
611,0,0
1348,4,0
390,2,0
618,2,0
2614,6,0
2174,4,0
5258,9,0
2674,1,0
271,5,0
1046,1,0
2132,4,0
1709,7,0
950,6,0
1423,5,0
412,1,0
1593,5,0
1149,3,0
279,1,0
444,1,0
1198,2,0
356,6,0
857,5,0
1345,4,0
2243,4,0
1334,4,0
5863,13,0
2672,3,0
1375,3,0
610,1,0
6258,8,0
2426,5,0
2261,6,0
1244,7,0
3182,4,0
1072,1,0
1469,7,0
2026,2,0
937,2,0
4002,9,0
860,8,0
698,1,0
5573,14,0
431,2,0
356,3,0
1376,3,0
915,4,0
3025,11,0
1489,5,0
3817,6,0
1568,2,0
2119,5,0
6279,9,0
197,0,0
2558,7,0
3603,11,0
4092,7,0
1042,6,0
722,4,0
570,1,0
2156,5,0
3088,1,0
3497,7,0
1580,4,0
938,3,0
296,6,0
437,0,0
2642,4,0
487,2,0
2965,6,0
875,2,0
1074,2,0
4130,6,0
2269,5,0
2111,2,0
3365,0,0
868,1,0
897,3,0
1348,2,0
3014,2,0
3011,11,0
386,2,0
2227,3,0
1591,4,0
2956,5,0
1021,7,0
1041,3,0
309,5,0
4459,3,0
339,2,0
1300,10,0
1868,9,0
2410,6,0
158,1,0
2357,11,0
889,1,0
2129,1,0
1973,12,0
1813,6,0
5571,7,0
966,5,0
7800,14,0
549,5,0
346,5,0
2572,8,0
3011,5,0
262,3,0
8510,12,0
4014,7,0
879,4,0
570,5,0
1770,8,0
1699,3,0
4426,6,0
347,1,0
4225,8,0
2746,5,0
324,1,0
5170,7,0
748,7,0
1382,1,0
4834,7,0
1216,9,0
3250,2,0
2714,7,0
4580,9,0
3237,12,0
1183,6,0
1077,7,0
3671,7,0
3441,8,0
1015,2,0
2181,12,0
886,7,0
1618,5,0
357,1,0
2409,2,0
1736,8,0
839,6,0
694,4,0
548,2,0
2999,3,0
800,3,0
404,4,0
5868,14,0
509,6,0
827,4,0
1187,5,0
226,2,0
1963,4,0
225,2,0
1457,1,0
