Timesteps,Collisions,Steps Waited
540,2,0
3323,7,0
3839,2,0
4397,7,0
3167,9,0
2520,5,0
249,1,0
1864,3,0
619,4,0
2204,7,0
492,0,0
515,1,0
1498,3,0
1065,0,0
4153,13,0
433,1,0
1060,2,0
2952,2,0
420,3,0
5717,9,0
1804,2,0
1297,2,0
552,3,0
471,4,0
2608,7,0
654,1,0
2173,7,0
1946,3,0
420,2,0
4264,8,0
668,3,0
5083,5,0
2277,2,0
2420,2,0
934,0,0
7741,4,0
1578,4,0
2606,6,0
4502,11,0
1081,14,0
2214,3,0
1469,1,0
5033,6,0
1959,2,0
755,7,0
997,4,0
339,2,0
1258,3,0
1732,5,0
408,0,0
2464,3,0
3914,2,0
2423,8,0
429,3,0
1318,1,0
1336,2,0
2700,7,0
284,1,0
1773,4,0
2048,5,0
2338,7,0
2093,2,0
1395,6,0
572,6,0
730,3,0
1374,4,0
482,0,0
2344,3,0
4800,4,0
854,3,0
2810,2,0
3262,2,0
1826,3,0
3394,9,0
1869,3,0
1038,3,0
616,4,0
1615,2,0
1617,8,0
1204,5,0
1507,6,0
373,4,0
1828,4,1
414,7,0
2460,6,0
650,4,0
1867,11,0
1584,2,0
668,3,0
3984,4,0
1344,3,0
2419,3,0
1364,7,0
1582,5,0
9374,14,0
490,2,0
4783,8,0
2102,6,0
897,7,0
1659,6,0
202,0,0
681,2,0
772,1,0
1350,4,0
3237,6,0
2638,1,0
1481,1,0
633,2,0
3399,5,0
2862,4,0
667,5,0
844,4,0
4359,4,0
2155,7,0
6033,3,0
2631,5,0
3570,6,0
6396,10,0
1414,5,0
1830,4,0
355,2,0
1298,7,0
3025,9,0
439,1,0
3208,2,0
467,0,0
3788,1,0
804,8,0
6495,7,0
292,2,0
1805,1,0
2676,6,0
2641,4,0
845,2,0
4727,8,0
614,1,0
5016,7,0
738,5,0
237,2,0
1557,4,0
382,1,0
376,4,0
834,3,0
108,4,0
2367,3,0
680,0,0
544,3,0
1919,2,0
601,2,0
4149,4,0
4129,5,0
590,2,0
267,0,0
579,0,0
461,0,0
693,2,0
2543,3,0
4841,10,0
256,1,0
793,3,0
140,0,0
2161,1,0
3487,14,0
1239,1,0
495,3,0
569,0,0
1802,5,0
444,4,0
4379,6,0
4526,10,0
2213,5,0
541,2,0
3447,7,0
1124,6,0
391,2,0
1494,3,0
288,2,0
3369,2,0
2652,8,0
743,3,0
2556,7,0
2872,5,0
3088,4,0
1679,5,0
1212,2,0
493,4,0
1672,1,0
2830,6,0
2227,7,0
1114,5,0
7406,6,0
1813,2,0
370,2,0
697,2,0
2272,5,0
1675,7,0
3525,0,0
1476,1,0
1241,13,0
387,4,0
2176,1,0
5646,8,0
498,7,0
1429,2,0
208,1,0
2467,5,0
3830,4,0
3558,8,0
3190,3,0
1214,5,0
2115,4,0
1624,3,0
875,3,0
3239,4,0
1059,0,0
674,2,0
3319,1,0
374,5,0
2742,4,0
283,1,0
4679,9,0
624,2,0
918,8,0
5297,11,0
934,2,0
1374,4,0
929,5,0
2256,2,0
640,3,0
619,1,0
610,2,0
1263,1,0
1880,1,0
1682,5,0
1153,3,0
368,0,0
1291,1,0
5185,11,0
729,1,0
873,3,0
597,4,0
4813,9,0
1968,4,0
462,8,0
3883,3,0
634,2,0
4904,10,0
8064,7,0
2754,8,0
4886,2,0
1749,3,0
739,2,0
251,2,0
315,1,0
2055,6,0
4323,8,0
626,2,0
766,4,0
1658,6,0
504,6,0
1186,2,0
3366,6,0
881,2,0
755,1,0
8611,11,0
260,1,0
401,3,0
440,0,0
3917,3,0
3902,9,0
3235,10,0
1670,4,0
959,1,0
970,2,0
1962,4,0
1231,2,0
1359,1,0
235,0,0
1730,4,0
1586,2,0
4317,8,0
1641,7,0
5706,11,0
2473,1,0
1213,3,0
2087,7,0
1020,7,0
1249,4,0
804,6,0
550,1,0
209,0,0
471,4,0
762,1,0
410,1,0
567,2,0
1095,3,0
2742,4,0
735,2,0
2416,5,0
438,8,0
1752,6,0
3283,5,0
1741,0,0
259,2,0
1210,2,0
1161,7,0
828,1,0
5050,12,0
1564,3,0
1827,2,0
4050,8,0
1512,1,0
2278,9,0
1469,8,0
220,0,0
6658,6,0
4612,15,0
2601,8,0
963,1,0
920,4,0
2537,5,0
194,2,0
863,4,0
5410,18,0
658,4,0
1129,0,0
139,2,0
2453,1,0
1575,5,0
2255,5,0
1153,3,0
1460,12,0
2568,4,0
210,0,0
812,0,0
576,3,0
845,2,0
832,5,0
1420,2,0
4011,3,0
1849,4,0
518,1,0
4358,6,0
1832,9,0
444,0,0
451,4,0
3489,2,0
1164,0,0
3734,3,0
724,1,0
1823,3,0
3032,3,0
363,1,0
1269,2,0
1839,3,0
1576,5,0
4304,6,0
475,3,0
96,0,0
3280,4,0
366,1,0
1149,2,0
227,3,0
965,2,0
2160,5,0
1230,3,0
1396,1,0
530,2,0
2705,3,0
1887,4,0
1719,4,0
4026,7,0
3728,4,0
1907,8,0
3048,6,0
271,0,0
1910,8,0
4879,4,0
1389,9,0
2053,2,0
2415,2,0
1163,2,0
578,1,0
532,0,0
2154,3,0
2190,4,0
3149,1,0
521,3,0
2455,8,0
1554,2,0
96,1,0
1147,4,0
1862,4,0
1245,4,0
837,1,0
2810,3,0
3285,7,0
625,4,0
1277,5,0
3604,5,0
895,7,0
2447,3,0
795,4,0
1766,9,0
2312,5,0
929,2,0
8952,18,0
955,2,0
430,1,0
724,3,0
1212,11,0
1757,3,0
322,3,0
2490,1,0
3352,2,0
4485,6,0
2250,6,0
3254,6,0
2135,7,0
556,6,0
1172,0,0
3064,5,0
289,4,0
2250,4,0
4532,5,0
483,6,0
2988,8,0
1236,4,0
1170,2,0
2909,8,0
567,1,0
1313,3,0
1388,1,0
1083,3,0
928,3,0
