Timesteps,Collisions,Steps Waited
994,4,0
678,8,1
3123,7,0
1433,2,0
718,3,0
3857,7,0
2961,12,1
1151,4,0
867,13,1
4690,11,0
2350,9,0
886,8,0
814,7,1
349,1,0
975,1,0
5589,13,0
2349,2,0
4496,9,0
2140,4,1
2649,7,0
644,3,0
2887,11,1
666,7,0
815,11,1
6301,14,0
1087,2,0
1829,3,0
1910,3,0
4470,8,1
2221,9,0
301,3,0
910,3,0
1661,5,0
2457,12,1
2294,4,0
673,5,0
728,2,0
267,1,0
602,4,0
397,5,0
3758,7,0
660,8,0
425,2,0
1784,4,0
1543,7,0
1115,6,0
262,3,0
3489,4,0
1007,6,0
2272,4,0
689,7,0
2092,4,0
2350,11,0
950,2,1
243,2,0
323,2,0
800,2,0
1668,2,0
2777,9,0
621,6,1
1639,3,0
1442,1,0
961,10,0
706,2,0
227,3,0
2488,2,0
1379,8,0
342,5,0
546,7,0
919,3,0
1819,4,0
2297,6,0
805,3,1
1236,4,0
4731,1,0
2592,9,0
3546,11,0
1046,5,0
692,5,1
2964,18,0
1692,3,0
459,2,0
778,4,1
748,7,0
1457,5,0
538,4,0
3407,6,0
636,7,0
3728,4,0
896,4,1
1700,4,0
1694,2,0
4924,12,0
1388,9,0
702,2,0
176,2,0
293,4,0
3108,9,0
1521,4,0
2718,6,0
1356,8,0
778,5,1
1307,6,1
653,2,0
532,2,0
333,4,0
3527,4,0
773,3,0
372,5,0
346,3,0
1523,2,0
1524,6,1
3835,7,0
2136,6,0
5819,5,0
688,5,1
1976,7,0
888,3,0
1146,3,1
5158,11,0
1756,5,0
340,7,0
483,0,0
8093,7,0
3143,4,0
4512,6,0
2381,4,0
202,6,0
245,3,0
3286,6,0
1267,8,0
6651,16,0
4734,20,0
2036,6,0
2456,9,1
3383,6,0
2297,3,0
864,1,0
831,9,0
666,7,1
1842,4,0
1128,11,0
4014,5,0
1973,12,1
3780,5,0
2311,5,0
856,6,0
1164,4,0
2820,2,0
2518,7,0
2045,6,0
1426,7,0
2097,6,0
935,8,1
914,6,0
661,0,0
446,1,0
952,4,0
1271,12,0
1150,5,0
3043,3,0
724,2,0
2050,5,0
404,5,0
1328,4,0
898,0,0
6007,14,0
1405,5,0
5346,13,0
674,5,0
849,4,0
1077,6,0
486,2,0
1482,5,0
2497,3,0
1185,7,1
890,6,0
1346,12,0
1614,6,0
1250,5,1
744,4,0
3629,3,0
1419,8,1
327,0,0
645,7,0
279,4,0
1148,7,0
580,7,1
160,3,1
1929,7,0
412,8,0
1662,10,0
2644,8,0
931,4,0
527,8,0
939,7,0
596,6,0
1258,3,0
1104,0,0
3089,5,0
1493,5,0
9437,15,0
493,4,0
1207,4,0
2562,3,0
205,2,0
7081,15,0
6283,12,0
1171,5,0
1625,4,0
2151,3,0
1687,6,0
3037,7,0
1474,3,0
1169,7,0
633,0,0
1284,5,0
4336,5,0
2305,2,0
514,2,0
2733,11,1
927,1,0
3982,8,0
406,5,1
514,9,1
581,4,0
2304,2,0
2986,1,0
577,6,0
394,3,0
1165,6,0
139,0,0
5106,10,1
1911,3,0
1169,7,0
1198,6,0
365,4,1
1017,5,0
432,0,0
1096,11,1
2655,2,0
346,1,0
615,3,0
3727,11,0
1684,2,0
299,3,0
1022,5,0
