Timesteps,Collisions,Steps Waited
1547,8,8
4182,4,4
937,1,1
1131,3,3
1276,3,3
829,11,11
809,7,7
1254,4,4
502,8,8
399,5,5
2066,3,3
803,7,7
7863,15,15
595,4,4
325,2,2
3614,9,9
8050,18,18
5582,6,6
1134,7,7
731,7,7
950,2,2
3626,12,12
2121,16,16
909,4,4
978,5,5
2222,5,5
571,4,4
4035,8,8
1177,6,6
4255,7,7
696,8,8
249,3,3
1027,1,1
9650,16,16
4034,8,8
1732,12,12
1821,4,4
886,2,2
407,8,8
381,13,13
228,8,8
2561,5,5
564,5,5
2169,7,7
3006,11,11
4202,14,14
3135,7,7
170,1,1
1852,11,11
2026,9,9
863,6,6
2891,6,6
727,4,4
267,7,7
1645,9,9
1659,3,3
1236,14,14
515,4,4
881,3,3
183,4,4
2009,13,13
4653,23,23
2186,6,6
1429,8,8
988,10,10
726,2,2
5269,18,18
711,2,2
1050,6,6
795,4,4
345,3,3
790,2,2
1374,11,11
1422,11,11
5242,10,10
1825,1,1
972,2,2
3277,5,5
492,10,10
731,5,5
361,8,8
2520,4,4
562,7,7
418,12,12
744,13,13
7516,16,16
4408,13,13
721,4,4
2546,9,9
2232,4,4
3044,14,14
661,6,6
2242,6,6
861,3,3
172,4,4
564,1,1
391,6,6
884,4,4
776,5,5
1444,10,10
1084,8,8
1014,7,7
775,8,8
996,4,4
791,5,5
1017,8,8
512,4,4
2770,7,7
784,6,6
1526,4,4
3648,4,4
5021,11,11
7753,23,23
1556,5,5
1400,6,6
349,3,3
3456,11,11
2058,2,2
1460,3,3
1240,4,4
830,2,2
1524,7,7
907,7,7
6500,9,9
551,7,7
5701,8,8
9019,14,14
1322,2,2
1593,7,7
648,5,5
812,6,6
9427,18,18
6405,19,19
1534,8,8
370,2,2
3739,7,7
546,6,6
1689,10,10
4360,7,7
5888,14,14
814,15,15
1171,3,3
215,6,6
850,7,7
993,8,8
344,3,3
1311,9,9
3842,9,9
2053,5,5
1588,1,1
1310,6,6
1301,1,1
1273,2,2
1652,5,5
1166,18,18
1410,8,8
3472,5,5
2152,3,3
2456,6,6
9135,16,16
1365,5,5
2472,8,8
3525,9,9
938,2,2
830,2,2
1104,11,11
327,6,6
6263,8,8
6399,8,8
1074,4,4
715,3,3
2453,6,6
717,5,5
1397,6,6
937,7,7
3331,13,13
4256,9,9
3068,7,7
1413,4,4
1459,8,8
3487,9,9
8303,16,16
675,5,5
847,6,6
1275,7,7
660,1,1
391,10,10
239,1,1
1376,9,9
4371,10,10
2005,7,7
414,7,7
4879,15,15
3568,8,8
442,5,5
1236,2,2
2235,6,6
1894,5,5
832,1,1
709,4,4
2052,4,4
266,1,1
5783,11,11
2545,4,4
236,4,4
1394,4,4
2045,9,9
1586,9,9
2763,21,21
305,4,4
1535,2,2
1980,6,6
1060,9,9
1443,8,8
621,5,5
3114,4,4
286,8,8
632,5,5
1294,14,14
419,5,5
459,2,2
1186,4,4
638,8,8
1020,7,7
1460,5,5
292,2,2
3321,11,11
1967,6,6
4581,3,3
4634,11,11
4539,14,14
3598,8,8
3032,12,12
1852,3,3
2823,3,3
683,10,10
1413,10,10
11877,18,18
1587,9,9
3383,6,6
