Moves,Collisions
2002,101
1786,121
1620,112
263,54
7661,301
622,87
2516,142
282,73
1591,123
3808,143
572,52
308,65
748,84
419,85
855,83
423,55
2958,132
976,67
791,62
3451,156
2210,148
618,78
4367,127
1920,78
607,50
3989,163
4098,143
1999,115
161,51
5025,175
4938,155
5094,172
1603,78
2098,132
190,49
812,86
1752,104
2370,108
3056,156
1794,114
153,52
2997,113
2123,113
2453,80
799,57
2205,132
184,49
2221,143
2999,136
2263,108
1423,89
2466,107
2383,148
2368,107
2657,127
1540,115
1978,93
440,61
932,71
1784,98
592,49
2112,88
3010,158
1536,91
1286,92
1470,114
6602,200
1619,113
2899,117
2126,120
1265,107
1416,86
1648,82
608,69
3735,157
531,63
1410,112
490,38
3298,174
516,80
303,53
1378,107
878,86
563,74
5210,206
4497,172
1121,119
346,64
1573,131
1075,66
589,85
173,53
1587,123
475,52
387,79
6641,214
700,88
2959,163
3428,157
1945,108
899,91
3527,157
246,54
1304,81
1729,87
824,61
589,86
2076,113
5170,180
1681,87
867,80
3653,174
2233,91
822,67
374,75
2346,121
1965,100
1779,110
1277,120
4167,156
753,50
3875,151
393,101
1829,88
1277,82
1936,96
1406,89
679,70
939,77
1125,93
723,97
1644,95
1538,90
879,67
4618,171
4142,168
662,94
1562,92
1564,87
356,51
1428,166
863,86
142,55
903,81
836,86
386,90
965,100
834,50
277,70
2509,136
1949,119
2455,124
2004,112
4556,178
643,72
381,71
1034,84
694,72
3332,94
999,63
1087,93
1119,89
3735,122
2485,134
650,66
1362,63
541,77
1610,106
5905,222
1655,122
5714,154
274,65
4025,170
718,80
896,86
990,71
830,57
427,76
1500,95
1985,138
884,69
871,92
323,50
2224,104
174,76
2147,76
1248,76
986,66
2483,118
3112,117
1639,117
1108,81
2538,118
1567,114
4401,146
171,48
2602,122
2823,161
901,65
2014,125
6656,227
576,94
2120,106
430,73
1611,73
327,78
4635,179
1833,109
815,75
1224,111
147,61
1412,90
1630,103
716,79
2061,107
5122,213
2583,106
274,52
7179,261
4156,179
395,91
3683,142
725,64
705,83
3757,137
115,44
2062,97
2124,98
4447,192
1228,73
1168,71
2773,120
1263,100
399,63
2534,141
1375,105
2099,90
696,83
4227,148
909,98
2337,88
3949,177
2529,131
1098,111
2648,136
2692,119
344,74
179,30
6079,203
297,86
3419,125
894,64
1768,98
4029,147
566,77
3068,118
470,87
1274,82
1413,110
1506,74
3181,130
1448,74
208,53
987,77
897,73
2500,124
842,66
4070,166
315,63
1626,97
802,86
6854,228
385,50
983,82
3024,138
131,55
1431,117
1047,60
759,78
226,70
280,50
1316,103
1404,70
