Moves,Collisions
1821,114
1211,54
2657,102
528,62
226,46
442,83
347,46
2488,115
324,49
795,48
479,62
3652,176
915,78
1477,87
1978,87
2336,125
1943,119
3513,144
450,50
2403,106
1345,72
4092,177
582,83
2226,107
480,61
4391,191
821,89
1004,68
1366,83
4829,163
1402,95
4721,160
1826,94
1706,86
2300,93
265,52
1617,78
2203,90
1912,104
1054,66
6934,235
594,54
670,60
1505,46
1531,74
1808,127
474,93
388,60
432,37
262,54
1847,92
551,59
921,59
1807,107
4567,134
788,89
585,99
3710,146
440,51
3138,153
648,46
1457,73
460,45
3309,137
2040,92
8287,220
323,61
1664,61
1323,122
626,63
524,76
4140,145
528,58
1607,93
2275,92
1588,102
6280,193
2861,115
533,78
187,42
2549,110
1000,83
1253,82
2132,136
423,79
2698,137
2220,97
1568,82
436,58
1732,80
3534,134
2290,91
1196,78
359,46
933,66
2322,121
857,67
1506,88
2036,146
1476,69
331,41
577,53
2119,82
388,44
1957,118
1402,101
620,47
5920,189
1259,53
409,53
2982,108
448,67
3083,112
284,59
1347,77
3187,149
1860,105
898,71
2890,129
2419,128
656,52
706,57
3283,119
378,94
2389,107
2825,118
1030,68
2353,91
1196,58
1624,82
608,69
844,68
626,85
1593,96
637,58
2412,105
1509,97
3376,128
6259,226
669,84
497,56
1509,77
1464,94
2068,112
2418,110
745,60
3745,153
720,70
706,67
345,52
1104,109
1345,97
1608,115
187,42
2278,140
2685,116
421,41
877,98
2353,98
349,60
833,100
1698,118
1028,91
1736,109
1352,91
262,38
3852,138
535,60
1387,108
829,40
1280,82
531,57
3375,137
125,45
642,65
4517,210
648,64
1853,106
493,64
687,64
3179,160
3225,140
2785,118
460,62
3226,125
525,58
174,33
2740,133
2219,131
6820,257
3084,115
496,55
438,66
314,45
2432,121
4321,133
1086,68
942,79
1492,77
2634,115
711,66
2621,120
1175,72
6143,205
748,80
555,69
615,68
1582,127
201,40
1122,103
836,99
662,89
3829,140
836,87
301,38
1778,117
1734,75
414,91
347,48
1862,92
3953,148
629,74
1054,60
464,63
2447,94
766,58
2694,127
2934,150
1424,96
388,44
466,55
2865,134
284,53
1734,94
2539,152
3460,146
6263,173
3920,119
119,34
1496,91
1218,79
2290,124
769,88
1024,99
3575,115
2166,112
688,54
261,56
7149,240
464,66
275,38
357,49
1295,72
369,50
502,65
240,74
1333,78
2328,109
1921,105
593,66
3020,118
5206,198
2203,94
2896,94
2501,134
409,62
369,48
3171,100
1176,84
374,57
2220,79
7434,246
2511,113
2093,123
2545,132
2181,103
1382,77
4560,201
3712,188
2524,120
1266,84
2076,124
379,64
1046,81
734,63
8901,222
468,65
3889,143
565,76
2495,119
2630,116
2260,86
799,63
3230,116
1143,72
542,61
698,80
4028,167
2121,120
