Moves,Collisions
660,45
662,49
7111,213
2786,80
2443,99
3848,127
180,54
2636,126
419,29
2410,77
1656,79
1441,58
4788,159
782,57
2004,75
3430,145
5580,194
327,46
440,51
2253,107
341,39
2671,134
3503,116
1042,44
2271,106
1303,93
1234,82
1376,79
254,51
699,62
6256,182
1187,65
391,49
6726,217
587,58
3395,120
535,71
4644,131
5693,174
2259,92
1596,113
2259,110
1414,61
1029,84
4663,147
402,51
599,43
6027,215
675,76
1950,85
810,50
1463,81
1502,59
3799,128
551,53
1400,63
1800,74
339,45
151,32
4994,172
1181,84
902,73
1464,89
13806,431
5313,206
377,36
351,64
2401,86
1267,78
1186,73
4900,113
3359,131
2842,132
159,35
480,54
406,40
265,26
4618,143
3704,153
1821,66
744,66
1917,76
1076,50
1225,81
2383,145
260,66
4219,145
341,30
206,49
1499,76
480,43
2873,128
1355,72
8487,302
1584,77
850,70
1524,82
867,57
797,76
3913,109
1145,70
900,67
1418,88
1069,77
992,45
643,46
1496,83
1167,72
2002,92
1305,77
1598,70
5438,183
4485,148
1290,82
1626,75
698,62
1003,55
2477,103
1592,106
187,36
416,50
520,65
564,74
1402,89
1862,62
574,46
1785,90
321,44
2471,96
1769,107
330,35
2514,105
850,42
2190,100
2679,125
814,87
6805,220
2144,117
1859,107
628,60
1972,85
2395,103
1307,64
2213,106
238,52
4907,185
2153,110
2449,94
4294,104
1082,58
838,39
1149,49
4957,166
3640,163
193,44
1176,64
3879,135
1620,69
1672,88
1601,105
901,57
2412,92
872,58
1287,102
3848,168
3940,128
2140,119
1105,57
789,60
1632,74
5562,194
516,65
2356,134
351,47
4715,190
2748,104
1423,87
1846,126
1445,91
3598,201
1311,89
2929,80
366,46
105,27
855,53
277,34
3473,129
1965,112
2650,104
795,59
3005,133
272,58
1611,71
3576,127
664,35
1395,85
211,33
2088,94
1715,92
4179,158
2329,116
1159,65
903,67
738,58
850,87
551,76
4235,142
1559,79
2774,76
3577,137
2149,73
1930,111
1254,85
4458,135
662,66
2085,110
2686,118
4564,134
2225,76
4194,157
10212,301
1732,78
2442,94
1875,102
4072,178
654,63
948,72
2814,118
4197,201
2017,70
1323,81
1297,61
2971,111
2718,87
1859,99
1099,50
5073,182
317,44
219,40
1398,66
6749,215
5431,147
789,71
823,55
2544,131
833,49
1069,58
721,30
5786,146
872,71
3535,140
1661,92
1262,77
583,38
519,71
2292,96
2913,107
1402,97
129,28
246,32
348,45
1386,93
2296,116
2623,110
4121,164
2335,101
4187,166
392,46
4513,127
1391,101
506,61
3122,118
812,56
1655,65
1201,85
971,87
2816,119
4006,131
1532,70
893,45
4701,126
1265,66
2345,119
3756,159
5767,203
2211,82
2523,101
1981,94
1779,111
1411,99
5539,191
1127,80
1819,101
4336,146
297,42
722,75
2877,117
1601,79
1301,91
5869,205
562,69
1700,82
1334,83
2237,118
3669,134
834,67
1296,95
1696,90
151,20
1073,98
1175,61
235,43
476,59
324,49
1033,91
1092,76
751,69
902,53
278,53
1564,96
445,68
3352,108
834,52
1478,88
758,57
660,35
1948,104
913,61
2608,125
4286,152
762,33
2479,114
3689,128
665,65
403,58
1638,88
400,45
3802,150
3042,144
789,56
727,84
1295,80
746,63
858,73
338,51
2612,122
6330,254
2230,94
6707,247
174,37
654,58
352,38
225,35
2265,81
705,55
864,49
387,42
1749,47
385,47
808,48
712,70
394,38
2228,98
1498,86
576,66
947,71
713,61
1118,85
2273,100
373,49
1532,71
722,71
404,53
570,62
819,50
2626,123
1843,78
3338,123
1901,101
1610,59
4028,174
2183,114
402,44
847,43
498,66
1099,58
1425,102
405,63
578,96
1087,83
228,31
2603,102
3893,166
2251,114
5015,154
81,26
2532,77
463,53
919,48
3017,131
429,63
333,46
952,72
1296,80
1472,93
242,46
654,49
167,45
3247,98
2380,83
