Timesteps,Collisions,Steps Waited,Real-Time Elapsed
0, 0, 0, 0
0.0,0.0,0.0,0.0
1188.0,0.0,0.0,0.2242107391357422
666.0,0.0,0.0,0.13737201690673828
3375.0,2.0,2.0,0.7033736705780029
1338.0,1.0,1.0,0.2728888988494873
1024.0,2.0,2.0,0.2085270881652832
2368.0,4.0,4.0,0.4810762405395508
1603.0,2.0,2.0,0.33806371688842773
3759.0,0.0,0.0,0.7639625072479248
2972.0,4.0,4.0,0.5933520793914795
1214.0,3.0,3.0,0.24910950660705566
1763.0,4.0,4.0,0.35039234161376953
6266.0,8.0,8.0,1.304532527923584
2237.0,7.0,7.0,0.4585995674133301
1125.0,0.0,0.0,0.2282853126525879
1652.0,1.0,1.0,0.37334203720092773
3014.0,1.0,1.0,0.6398885250091553
962.0,1.0,1.0,0.21375632286071777
1007.0,2.0,2.0,0.20914149284362793
723.0,2.0,2.0,0.14238572120666504
3397.0,2.0,2.0,0.6893012523651123
5683.0,9.0,9.0,1.1593916416168213
254.0,0.0,0.0,0.047924041748046875
883.0,1.0,1.0,0.17503738403320312
2916.0,3.0,3.0,0.5865557193756104
1001.0,3.0,3.0,0.22005653381347656
3368.0,5.0,5.0,0.6849288940429688
4592.0,8.0,8.0,0.9576139450073242
496.0,0.0,0.0,0.11162829399108887
1722.0,0.0,0.0,0.338517427444458
397.0,0.0,0.0,0.08407950401306152
486.0,0.0,0.0,0.10124683380126953
1490.0,3.0,3.0,0.3117489814758301
2664.0,2.0,2.0,0.5406520366668701
486.0,0.0,0.0,0.10868573188781738
1121.0,1.0,1.0,0.22750139236450195
2541.0,0.0,0.0,0.5207092761993408
1310.0,3.0,3.0,0.2625255584716797
805.0,3.0,3.0,0.16618752479553223
1236.0,1.0,1.0,0.24028730392456055
4189.0,4.0,4.0,0.87571120262146
2325.0,2.0,2.0,0.482572078704834
1631.0,2.0,2.0,0.3586549758911133
2071.0,3.0,3.0,0.4499783515930176
1936.0,2.0,2.0,0.3960072994232178
922.0,0.0,0.0,0.19378399848937988
2179.0,1.0,1.0,0.44150209426879883
1057.0,1.0,1.0,0.2204744815826416
1005.0,0.0,0.0,0.2559490203857422
2708.0,1.0,1.0,0.5394649505615234
2730.0,4.0,4.0,0.5503785610198975
1761.0,3.0,3.0,0.3603944778442383
1579.0,2.0,2.0,0.32462000846862793
858.0,2.0,2.0,0.17394661903381348
2232.0,0.0,0.0,0.445375919342041
143.0,0.0,0.0,0.03870248794555664
483.0,0.0,0.0,0.10754132270812988
783.0,1.0,1.0,0.15845251083374023
2369.0,5.0,5.0,0.4691164493560791
5900.0,7.0,7.0,1.223541498184204
415.0,0.0,0.0,0.08406829833984375
3273.0,5.0,5.0,0.6881659030914307
1186.0,0.0,0.0,0.24866580963134766
259.0,1.0,1.0,0.04528045654296875
451.0,1.0,1.0,0.0921773910522461
1072.0,3.0,3.0,0.21184897422790527
2733.0,0.0,0.0,0.564342737197876
1927.0,3.0,3.0,0.3906583786010742
4293.0,8.0,8.0,0.9051921367645264
377.0,1.0,1.0,0.07767534255981445
4452.0,4.0,4.0,0.9328269958496094
2927.0,3.0,3.0,0.5955109596252441
465.0,1.0,1.0,0.11556887626647949
443.0,0.0,0.0,0.09107470512390137
1021.0,3.0,3.0,0.20558810234069824
2435.0,2.0,2.0,0.48769569396972656
662.0,2.0,2.0,0.13459062576293945
2426.0,2.0,2.0,0.4820566177368164
1097.0,2.0,2.0,0.22055459022521973
1356.0,3.0,3.0,0.2813849449157715
1350.0,0.0,0.0,0.27448606491088867
2049.0,4.0,4.0,0.40972185134887695
923.0,0.0,0.0,0.19257903099060059
1346.0,2.0,2.0,0.27185583114624023
879.0,1.0,1.0,0.1915726661682129
4073.0,5.0,5.0,0.8598480224609375
6794.0,5.0,5.0,1.4840209484100342
1292.0,1.0,1.0,0.29866719245910645
179.0,0.0,0.0,0.030750274658203125
1406.0,1.0,1.0,0.29404282569885254
1989.0,4.0,4.0,0.3968658447265625
3962.0,10.0,10.0,0.8190426826477051
329.0,1.0,1.0,0.06717824935913086
1772.0,2.0,2.0,0.34390950202941895
2430.0,5.0,5.0,0.49944376945495605
2482.0,4.0,4.0,0.5100183486938477
2050.0,2.0,2.0,0.40731263160705566
669.0,0.0,0.0,0.14754247665405273
2546.0,4.0,4.0,0.513472318649292
457.0,3.0,3.0,0.0897665023803711
2954.0,8.0,8.0,0.5851874351501465
2516.0,2.0,2.0,0.5058465003967285
2255.0,1.0,1.0,0.46042299270629883
11868.0,17.0,17.0,2.4470651149749756
514.0,0.0,0.0,0.1045224666595459
1264.0,0.0,0.0,0.256103515625
1761.0,3.0,3.0,0.37087202072143555
4598.0,4.0,4.0,0.9912784099578857
3827.0,3.0,3.0,0.7965941429138184
801.0,1.0,1.0,0.18392038345336914
2850.0,1.0,1.0,0.5759701728820801
2010.0,4.0,4.0,0.40373682975769043
1863.0,1.0,1.0,0.4466133117675781
2049.0,2.0,2.0,0.4471721649169922
531.0,1.0,1.0,0.08976197242736816
2167.0,2.0,2.0,0.4467012882232666
2965.0,3.0,3.0,0.6122334003448486
1090.0,0.0,0.0,0.22963738441467285
638.0,1.0,1.0,0.1460127830505371
1404.0,1.0,1.0,0.2817041873931885
1440.0,1.0,1.0,0.3115513324737549
1408.0,2.0,2.0,0.2832217216491699
1227.0,1.0,1.0,0.2586545944213867
578.0,2.0,2.0,0.11855506896972656
1232.0,0.0,0.0,0.25980639457702637
1187.0,0.0,0.0,0.24071574211120605
5720.0,5.0,5.0,1.1609227657318115
363.0,0.0,0.0,0.0840308666229248
2088.0,6.0,6.0,0.44999003410339355
249.0,0.0,0.0,0.04947543144226074
4280.0,8.0,8.0,0.8891017436981201
1956.0,2.0,2.0,0.4154701232910156
2641.0,1.0,1.0,0.5337865352630615
316.0,0.0,0.0,0.060251474380493164
1775.0,1.0,1.0,0.35810279846191406
493.0,0.0,0.0,0.09956717491149902
3091.0,3.0,3.0,0.6334033012390137
9781.0,13.0,13.0,2.0420191287994385
2158.0,5.0,5.0,0.4348311424255371
837.0,0.0,0.0,0.17744755744934082
4344.0,7.0,7.0,0.8949697017669678
1525.0,1.0,1.0,0.3185691833496094
792.0,2.0,2.0,0.160477876663208
4599.0,7.0,7.0,0.9421093463897705
2043.0,1.0,1.0,0.4111456871032715
430.0,0.0,0.0,0.09473085403442383
2957.0,3.0,3.0,0.588956356048584
1383.0,1.0,1.0,0.29643893241882324
2460.0,2.0,2.0,0.5377390384674072
684.0,2.0,2.0,0.16785168647766113
1663.0,2.0,2.0,0.3930833339691162
715.0,3.0,3.0,0.16543221473693848
323.0,0.0,0.0,0.07217574119567871
4030.0,11.0,11.0,0.8521168231964111
920.0,1.0,1.0,0.18926072120666504
566.0,0.0,0.0,0.11572051048278809
4037.0,2.0,2.0,0.8681056499481201
1313.0,2.0,2.0,0.2671802043914795
1547.0,5.0,5.0,0.3408241271972656
868.0,1.0,1.0,0.19859814643859863
329.0,0.0,0.0,0.06794190406799316
1667.0,2.0,2.0,0.3597900867462158
517.0,0.0,0.0,0.11196446418762207
1974.0,1.0,1.0,0.40753793716430664
672.0,0.0,0.0,0.13679790496826172
3753.0,4.0,4.0,0.7626945972442627
1152.0,1.0,1.0,0.23495244979858398
2262.0,0.0,0.0,0.47690820693969727
2340.0,2.0,2.0,0.47631120681762695
1567.0,2.0,2.0,0.3698885440826416
2691.0,4.0,4.0,0.5496771335601807
1330.0,3.0,3.0,0.2601759433746338
476.0,0.0,0.0,0.10003209114074707
457.0,0.0,0.0,0.10017132759094238
2054.0,2.0,2.0,0.46762633323669434
1490.0,3.0,3.0,0.31299781799316406
555.0,1.0,1.0,0.12991905212402344
528.0,0.0,0.0,0.10156631469726562
2331.0,2.0,2.0,0.4652900695800781
174.0,0.0,0.0,0.031259775161743164
745.0,1.0,1.0,0.17192602157592773
