Timesteps,Collisions,Steps Waited,Real-Time Elapsed
155.0,2.0,2.0,0.10351753234863281
401.0,13.0,13.0,0.25954556465148926
72.0,1.0,1.0,0.04699850082397461
175.0,0.0,0.0,0.11390876770019531
504.0,6.0,6.0,0.32947850227355957
265.0,7.0,7.0,0.1725165843963623
1522.0,36.0,36.0,0.987966775894165
350.0,4.0,4.0,0.22753381729125977
137.0,6.0,6.0,0.09000468254089355
367.0,4.0,4.0,0.23720788955688477
95.0,2.0,2.0,0.06200432777404785
390.0,12.0,12.0,0.2647066116333008
37.0,0.0,0.0,0.024000167846679688
1213.0,13.0,13.0,0.7911982536315918
1008.0,16.0,16.0,0.6560616493225098
256.0,4.0,4.0,0.174027681350708
217.0,4.0,4.0,0.14403057098388672
212.0,2.0,2.0,0.14302873611450195
238.0,7.0,7.0,0.15596413612365723
179.0,4.0,4.0,0.11505579948425293
1294.0,36.0,36.0,0.8492228984832764
181.0,4.0,4.0,0.11850905418395996
129.0,2.0,2.0,0.08451175689697266
1330.0,23.0,23.0,0.8736231327056885
