Timesteps,Collisions,Steps Waited,Real-Time Elapsed
6,1,1,0.0007498264312744141
5,1,1,0.0005338191986083984
12,0,0,0.0006301403045654297
4,0,0,0.0003132820129394531
5,0,0,0.0005140304565429688
4,0,0,0.0003159046173095703
4,0,0,0.000392913818359375
6,2,2,0.00045108795166015625
6,1,1,0.0004622936248779297
5,0,0,0.0003294944763183594
4,0,0,0.0005180835723876953
4,0,0,0.00039076805114746094
8,1,1,0.0005517005920410156
8,3,3,0.0005018711090087891
5,1,1,0.000484466552734375
7,0,0,0.0004088878631591797
4,0,0,0.0003304481506347656
4,0,0,0.00036787986755371094
5,0,0,0.00037360191345214844
5,0,0,0.00037384033203125
4,0,0,0.00030684471130371094
15,0,0,0.0007052421569824219
4,0,0,0.0003104209899902344
5,1,1,0.000469207763671875
5,0,0,0.0004067420959472656
4,0,0,0.00042557716369628906
5,0,0,0.0003376007080078125
5,1,1,0.0003590583801269531
4,0,0,0.0005631446838378906
4,0,0,0.00042510032653808594
5,1,1,0.0003635883331298828
4,0,0,0.00038933753967285156
6,1,1,0.0003960132598876953
4,0,0,0.0003173351287841797
5,0,0,0.0003483295440673828
8,2,2,0.0005431175231933594
4,0,0,0.00034427642822265625
4,0,0,0.00031065940856933594
6,0,0,0.0003676414489746094
5,0,0,0.0003323554992675781
5,1,1,0.0004181861877441406
6,2,2,0.0005066394805908203
4,0,0,0.0003669261932373047
5,0,0,0.0005025863647460938
5,1,1,0.00038361549377441406
7,1,1,0.00041556358337402344
6,2,2,0.0005497932434082031
4,0,0,0.0005707740783691406
5,0,0,0.00034236907958984375
5,1,1,0.00037598609924316406
7,1,1,0.0006062984466552734
4,0,0,0.0003192424774169922
5,1,1,0.0003604888916015625
6,1,1,0.0005505084991455078
5,0,0,0.00037670135498046875
6,2,2,0.0004150867462158203
4,0,0,0.0005083084106445312
9,0,0,0.00043272972106933594
5,1,1,0.00037026405334472656
5,0,0,0.0003657341003417969
4,0,0,0.000335693359375
4,0,0,0.00030350685119628906
4,0,0,0.00037407875061035156
9,1,1,0.0006916522979736328
5,0,0,0.00034236907958984375
4,0,0,0.00032019615173339844
6,2,2,0.0004942417144775391
10,0,0,0.000469207763671875
4,0,0,0.00043392181396484375
9,0,0,0.0005018711090087891
5,0,0,0.0003590583801269531
11,2,2,0.0008747577667236328
13,0,0,0.0005481243133544922
5,0,0,0.0003676414489746094
9,1,1,0.0005784034729003906
6,0,0,0.00045013427734375
9,0,0,0.0005140304565429688
4,0,0,0.0003178119659423828
5,0,0,0.0005624294281005859
4,0,0,0.0003814697265625
5,1,1,0.0003757476806640625
6,0,0,0.0005271434783935547
4,0,0,0.0004317760467529297
5,1,1,0.000354766845703125
15,1,1,0.0007777214050292969
4,0,0,0.0003685951232910156
5,1,1,0.0003566741943359375
7,1,1,0.0005397796630859375
6,1,1,0.0004222393035888672
7,1,1,0.00043487548828125
5,1,1,0.00045418739318847656
9,0,0,0.0004680156707763672
5,0,0,0.0003733634948730469
6,2,2,0.0005407333374023438
4,0,0,0.0003943443298339844
4,0,0,0.0003314018249511719
4,0,0,0.00032711029052734375
8,1,1,0.0004439353942871094
6,1,1,0.00041604042053222656
9,0,0,0.0004334449768066406
6,0,0,0.0003674030303955078
12,2,2,0.0005934238433837891
4,0,0,0.0003018379211425781
4,0,0,0.0003845691680908203
9,2,2,0.0005528926849365234
4,0,0,0.0003445148468017578
9,0,0,0.0004367828369140625
5,1,1,0.0005495548248291016
4,0,0,0.00031948089599609375
5,0,0,0.0003421306610107422
4,0,0,0.0003533363342285156
8,4,4,0.0005049705505371094
8,2,2,0.00045943260192871094
4,0,0,0.00030350685119628906
5,1,1,0.0003876686096191406
4,0,0,0.0003085136413574219
6,0,0,0.0005099773406982422
4,0,0,0.000308990478515625
6,1,1,0.000579833984375
4,0,0,0.00041866302490234375
4,0,0,0.0005018711090087891
7,3,3,0.0004532337188720703
4,0,0,0.0003800392150878906
4,0,0,0.0003237724304199219
8,1,1,0.0004451274871826172
6,1,1,0.0005145072937011719
5,1,1,0.0003714561462402344
16,1,1,0.0006401538848876953
6,0,0,0.00049591064453125
5,0,0,0.0004968643188476562
6,1,1,0.00067138671875
4,0,0,0.0005142688751220703
6,1,1,0.0004279613494873047
6,0,0,0.0003955364227294922
9,0,0,0.00043201446533203125
8,1,1,0.0005650520324707031
7,1,1,0.00045418739318847656
10,0,0,0.0005609989166259766
5,1,1,0.0003676414489746094
5,0,0,0.000545501708984375
8,1,1,0.0006477832794189453
4,0,0,0.0005252361297607422
5,1,1,0.0004603862762451172
13,0,0,0.0006601810455322266
4,0,0,0.0003032684326171875
4,0,0,0.0003330707550048828
4,0,0,0.00031185150146484375
4,0,0,0.00039839744567871094
7,1,1,0.00046133995056152344
4,0,0,0.00030493736267089844
5,0,0,0.0006220340728759766
6,1,1,0.0006823539733886719
9,0,0,0.0005586147308349609
4,0,0,0.0005586147308349609
5,0,0,0.0003540515899658203
5,0,0,0.0003879070281982422
4,0,0,0.000308990478515625
5,1,1,0.0003998279571533203
4,0,0,0.0002989768981933594
4,0,0,0.0003757476806640625
5,0,0,0.0005772113800048828
6,0,0,0.00040030479431152344
7,0,0,0.0005757808685302734
6,1,1,0.0005049705505371094
5,0,0,0.0003571510314941406
4,0,0,0.0004088878631591797
6,0,0,0.0004773139953613281
6,1,1,0.0004010200500488281
4,0,0,0.0005028247833251953
6,2,2,0.0005700588226318359
4,0,0,0.0003085136413574219
6,1,1,0.0003955364227294922
12,0,0,0.0006008148193359375
6,0,0,0.0003693103790283203
6,1,1,0.0008187294006347656
4,0,0,0.0003368854522705078
4,0,0,0.0003864765167236328
4,0,0,0.00030684471130371094
6,1,1,0.0006175041198730469
4,0,0,0.00042748451232910156
4,0,0,0.0003361701965332031
5,1,1,0.000514984130859375
5,0,0,0.0004329681396484375
6,0,0,0.0004115104675292969
4,0,0,0.00044155120849609375
4,0,0,0.00033855438232421875
7,2,2,0.0005605220794677734
6,0,0,0.00040340423583984375
8,1,1,0.0004634857177734375
5,1,1,0.0005364418029785156
4,0,0,0.0003898143768310547
7,0,0,0.0005857944488525391
5,0,0,0.000347137451171875
4,0,0,0.00041222572326660156
4,0,0,0.00030994415283203125
6,0,0,0.0003745555877685547
5,1,1,0.00037288665771484375
5,1,1,0.0003948211669921875
7,0,0,0.00043082237243652344
4,0,0,0.00031828880310058594
8,0,0,0.00041413307189941406
4,0,0,0.0004546642303466797
13,0,0,0.0006134510040283203
5,0,0,0.0005283355712890625
8,1,1,0.0004379749298095703
6,1,1,0.0005524158477783203
8,1,1,0.0005848407745361328
6,0,0,0.0006129741668701172
11,1,1,0.000751495361328125
8,0,0,0.0005428791046142578
5,1,1,0.00043773651123046875
5,1,1,0.00043320655822753906
7,0,0,0.0004417896270751953
5,1,1,0.0003981590270996094
4,0,0,0.00043511390686035156
4,0,0,0.0003209114074707031
4,0,0,0.00032591819763183594
12,0,0,0.0005128383636474609
11,0,0,0.0010547637939453125
6,0,0,0.00037097930908203125
8,0,0,0.0005409717559814453
7,1,1,0.0006380081176757812
6,2,2,0.0005414485931396484
4,0,0,0.0005834102630615234
6,2,2,0.00043010711669921875
11,0,0,0.0004942417144775391
4,0,0,0.00042510032653808594
5,0,0,0.00042510032653808594
5,1,1,0.00035858154296875
4,0,0,0.0004601478576660156
4,0,0,0.0005602836608886719
12,1,1,0.0005621910095214844
7,1,1,0.0004909038543701172
6,1,1,0.00038552284240722656
5,0,0,0.00033664703369140625
5,0,0,0.0003349781036376953
5,1,1,0.0003666877746582031
6,1,1,0.0004074573516845703
6,1,1,0.0005242824554443359
16,2,2,0.0006656646728515625
6,1,1,0.0006318092346191406
5,1,1,0.0003876686096191406
13,1,1,0.0007085800170898438
6,0,0,0.000370025634765625
4,0,0,0.0005252361297607422
5,1,1,0.0004115104675292969
6,0,0,0.0003864765167236328
5,1,1,0.00037360191345214844
5,1,1,0.0005023479461669922
6,2,2,0.0005011558532714844
10,1,1,0.0005013942718505859
7,3,3,0.0005404949188232422
6,1,1,0.00040078163146972656
4,0,0,0.00031280517578125
4,0,0,0.00043129920959472656
5,1,1,0.0003612041473388672
4,0,0,0.00043201446533203125
4,0,0,0.00030493736267089844
5,0,0,0.0003249645233154297
7,1,1,0.00044083595275878906
5,1,1,0.00043201446533203125
8,1,1,0.00047135353088378906
10,3,3,0.0006241798400878906
8,0,0,0.0005397796630859375
6,1,1,0.0004105567932128906
13,0,0,0.0007469654083251953
4,0,0,0.000446319580078125
7,2,2,0.0004506111145019531
7,0,0,0.00039887428283691406
4,0,0,0.0004291534423828125
4,0,0,0.00033164024353027344
9,0,0,0.0005586147308349609
4,0,0,0.0005295276641845703
4,0,0,0.00041413307189941406
5,1,1,0.00035834312438964844
6,0,0,0.0003941059112548828
4,0,0,0.0003142356872558594
5,0,0,0.00035834312438964844
8,0,0,0.0004189014434814453
4,0,0,0.0003154277801513672
5,0,0,0.0003352165222167969
5,1,1,0.0004570484161376953
8,1,1,0.0005593299865722656
4,0,0,0.00031447410583496094
5,1,1,0.0003719329833984375
4,0,0,0.00032067298889160156
9,1,1,0.0008826255798339844
5,1,1,0.00037217140197753906
6,0,0,0.0003943443298339844
7,3,3,0.0004932880401611328
4,0,0,0.0003113746643066406
6,1,1,0.0003917217254638672
4,0,0,0.00044798851013183594
5,1,1,0.00036025047302246094
4,0,0,0.00031495094299316406
6,0,0,0.00037026405334472656
4,0,0,0.0004582405090332031
5,0,0,0.0005660057067871094
5,0,0,0.0004532337188720703
4,0,0,0.00039649009704589844
6,0,0,0.0003921985626220703
11,0,0,0.0006685256958007812
7,1,1,0.00043463706970214844
4,0,0,0.00033736228942871094
9,0,0,0.0005147457122802734
4,0,0,0.0004551410675048828
5,1,1,0.0004591941833496094
6,0,0,0.0005068778991699219
4,0,0,0.00032591819763183594
5,1,1,0.0005848407745361328
6,0,0,0.00037097930908203125
5,0,0,0.00034499168395996094
4,0,0,0.0006923675537109375
4,0,0,0.00031566619873046875
4,0,0,0.0005326271057128906
4,0,0,0.0003941059112548828
5,1,1,0.0004189014434814453
5,0,0,0.0004782676696777344
7,1,1,0.00046324729919433594
5,1,1,0.0006644725799560547
5,1,1,0.0003705024719238281
5,0,0,0.0004820823669433594
5,0,0,0.0003819465637207031
6,1,1,0.0003993511199951172
4,0,0,0.0004401206970214844
4,0,0,0.0003075599670410156
4,0,0,0.0003948211669921875
5,1,1,0.0004241466522216797
5,1,1,0.0003764629364013672
5,1,1,0.000591278076171875
6,0,0,0.0007386207580566406
5,0,0,0.000560760498046875
5,1,1,0.0004596710205078125
4,0,0,0.0003275871276855469
4,0,0,0.00031876564025878906
6,2,2,0.00042510032653808594
6,2,2,0.0005550384521484375
9,0,0,0.0005180835723876953
6,0,0,0.0008628368377685547
5,1,1,0.0004553794860839844
10,0,0,0.0006070137023925781
4,0,0,0.00040459632873535156
4,0,0,0.0005853176116943359
5,1,1,0.0004832744598388672
5,0,0,0.0004856586456298828
6,0,0,0.000377655029296875
7,1,1,0.0004456043243408203
6,2,2,0.0004470348358154297
4,0,0,0.00041031837463378906
5,1,1,0.0003592967987060547
5,0,0,0.0004749298095703125
5,0,0,0.0005574226379394531
5,1,1,0.0004291534423828125
7,1,1,0.0006051063537597656
4,0,0,0.0003428459167480469
6,0,0,0.0005006790161132812
4,0,0,0.00042891502380371094
5,0,0,0.0007200241088867188
10,1,1,0.0008187294006347656
4,0,0,0.0003211498260498047
6,1,1,0.0004703998565673828
7,2,2,0.0004975795745849609
4,0,0,0.0003190040588378906
5,0,0,0.00044155120849609375
7,0,0,0.0003981590270996094
5,0,0,0.0003349781036376953
7,1,1,0.0005364418029785156
4,0,0,0.0003108978271484375
4,0,0,0.0004138946533203125
12,1,1,0.0005381107330322266
5,0,0,0.0005533695220947266
6,0,0,0.0003864765167236328
4,0,0,0.0003943443298339844
6,0,0,0.00041365623474121094
12,0,0,0.0005202293395996094
6,1,1,0.0004336833953857422
5,0,0,0.0006411075592041016
6,2,2,0.00054168701171875
8,3,3,0.0008525848388671875
4,0,0,0.0004088878631591797
9,3,3,0.0007107257843017578
5,1,1,0.00035953521728515625
6,1,1,0.0005679130554199219
12,0,0,0.0008132457733154297
5,1,1,0.0005450248718261719
4,0,0,0.0005254745483398438
8,2,2,0.0004894733428955078
9,0,0,0.0005011558532714844
6,2,2,0.00041103363037109375
4,0,0,0.0003833770751953125
4,0,0,0.0004956722259521484
4,0,0,0.0003402233123779297
7,0,0,0.0003955364227294922
4,0,0,0.0003173351287841797
6,1,1,0.0005023479461669922
5,0,0,0.00036263465881347656
4,0,0,0.0003457069396972656
7,1,1,0.000484466552734375
4,0,0,0.0003325939178466797
5,0,0,0.00037384033203125
4,0,0,0.0003063678741455078
5,1,1,0.00036263465881347656
5,1,1,0.0004718303680419922
6,0,0,0.00036787986755371094
4,0,0,0.00032258033752441406
6,2,2,0.0004353523254394531
6,0,0,0.0003571510314941406
6,2,2,0.0005810260772705078
10,1,1,0.0006048679351806641
6,0,0,0.0005767345428466797
12,2,2,0.0006117820739746094
6,1,1,0.00042247772216796875
6,2,2,0.00042247772216796875
9,1,1,0.0005345344543457031
4,0,0,0.0003190040588378906
8,4,4,0.0005364418029785156
4,0,0,0.00031304359436035156
5,0,0,0.0004189014434814453
6,0,0,0.0004742145538330078
5,1,1,0.00036454200744628906
7,0,0,0.0006101131439208984
4,0,0,0.00043654441833496094
6,1,1,0.0004024505615234375
5,1,1,0.0004379749298095703
5,0,0,0.0004534721374511719
6,0,0,0.0004050731658935547
