Timesteps,Collisions,Steps Waited,Real-Time Elapsed
1060,22,1060,3.800475597381592
307,14,307,3.0598995685577393
1731,20,1731,3.013714075088501
647,5,647,3.967393398284912
1772,23,1772,3.1807148456573486
160,4,160,3.368475914001465
3194,9,3194,3.1787540912628174
1150,11,1150,3.546290397644043
2265,11,2265,2.795346260070801
189,13,189,2.6886649131774902
692,9,692,3.059091806411743
982,8,982,2.4403021335601807
892,11,892,3.0273263454437256
2082,4,2082,3.159658908843994
8608,14,8608,3.3835155963897705
348,3,348,3.407684326171875
680,21,680,3.2787559032440186
1264,19,1264,2.647195816040039
1887,7,1887,2.5771734714508057
112,7,112,1.0746252536773682
2980,6,2980,2.6994030475616455
404,7,404,3.3560068607330322
4285,20,4285,2.52475643157959
313,4,313,2.155817985534668
3262,22,3262,2.030521869659424
2795,11,2795,4.08448338508606
1317,12,1317,2.464893102645874
1955,4,1955,2.7251553535461426
1918,12,1918,1.5719268321990967
1001,10,1001,2.323617935180664
850,8,850,2.499631643295288
187,6,187,5.1030731201171875
2055,19,2055,3.7566440105438232
698,14,698,3.2372710704803467
2293,14,2293,3.395420551300049
402,13,402,3.199202299118042
714,9,714,2.0921008586883545
352,5,352,2.710991621017456
2163,7,2163,2.6186418533325195
2921,9,2921,2.749396562576294
263,8,263,2.0222277641296387
825,7,825,1.813842535018921
1180,15,1180,2.760037660598755
1635,4,1635,2.15263295173645
588,12,588,3.217028856277466
2536,18,2536,3.8573553562164307
1694,17,1694,3.8763840198516846
1215,1,1215,3.5113372802734375
2064,14,2064,3.333839178085327
550,12,550,3.0488643646240234
587,5,587,2.6492841243743896
1540,15,1540,2.3866665363311768
332,0,332,2.2547342777252197
823,21,823,2.5617308616638184
1481,17,1481,3.6165099143981934
1401,15,1401,2.702486991882324
2853,7,2853,2.6894993782043457
414,8,414,2.6142303943634033
702,14,702,4.000539302825928
551,11,551,2.945159673690796
1886,4,1886,3.173476219177246
667,5,667,2.3622703552246094
2726,14,2726,3.240025043487549
2802,13,2802,4.043476819992065
1426,4,1426,3.727935314178467
1775,17,1775,2.061549663543701
851,14,851,2.4465205669403076
866,13,866,3.206650733947754
1245,3,1245,3.127060890197754
1435,11,1435,2.2449722290039062
6171,20,6171,3.347627878189087
3922,16,3922,3.0843005180358887
355,14,355,3.016995429992676
2306,5,2306,3.7654354572296143
1869,8,1869,3.5940067768096924
1630,16,1630,4.0796825885772705
1333,13,1333,2.1337876319885254
1393,2,1393,4.255269765853882
1749,6,1749,2.262320041656494
1324,27,1324,2.3237762451171875
1634,12,1634,1.68924880027771
1719,17,1719,2.9977293014526367
1853,12,1853,2.807631254196167
3380,16,3380,2.535942554473877
1050,18,1050,2.0554845333099365
986,5,986,3.598524332046509
300,1,300,2.2219905853271484
141,21,141,3.1984329223632812
2764,18,2764,3.45920991897583
235,14,235,2.2135517597198486
